id,created_at,text
952898950998167553,2018-01-15 13:43:08,@awalsh82 I like it.  Just be careful about margin - there's no cross-margining so you could potentially get margin… https://t.co/XbtFW2GNtp
952706559603339264,2018-01-15 00:58:38,@EGMontesano Demand will come from a new wave of more institutional buyers.
952706430108389376,2018-01-15 00:58:08,@lockmanboy A really warm pair of socks.
952705721078042625,2018-01-15 00:55:18,"If you're going to throw your Bitcoin profits at a ""lambo"", at least make it Bitcoin orange in color."
952597838508290049,2018-01-14 17:46:37,@ZoeJDolan I think of those as literally synonymous.  Peoples' predictions are often characterized almost as facts… https://t.co/eWYOsEixqa
952578191964753920,2018-01-14 16:28:33,"@ZoeJDolan Because all action and investing requires some forecast of the future, however imprecise."
952577753135624192,2018-01-14 16:26:49,"13/ Estimates of this are very tough, but global adoption will triple from about 1% to 3% of humans on earth owning cryptocurrency."
952577499736805382,2018-01-14 16:25:48,12/ We'll see something an order of magnitude bigger than cryptokitties - some collectible or simple game that achieves meaningful adoption.
952577035221831681,2018-01-14 16:23:57,"11/ There will be a ""breakdown"" between financial derivatives (futures, options) on crypto and the underlying due t… https://t.co/dLIScPaQZk"
952576503409147906,2018-01-14 16:21:51,"10/ We'll get a blossoming of crypto index funds, such that &gt;6% of all crypto network value will be passively held… https://t.co/aXISNpbJRb"
952576259380383744,2018-01-14 16:20:52,9/ Both BTC and BCH will continue to hard fork and &gt;10% of the value of each (if held today) will reside in new offshoots.
952576072721358848,2018-01-14 16:20:08,8/ Dentacoin will become the largest cryptocurrency (kidding).
952575669128630272,2018-01-14 16:18:32,"7/ In 2017 I was asked if ETH would replace BTC.  In 2018, serious people will ask if non-blockchain based cryptocu… https://t.co/ibBwKQqyrV"
952575300034088961,2018-01-14 16:17:04,6/ There will be at least 10 large (&gt;$5 billion network value) 'corporate coins' offered by Telegram and other companies.
952574944814264320,2018-01-14 16:15:39,"5/ Bitcoin will trade at both $6,000 and $60,000 at some point in 2018."
952574677876125698,2018-01-14 16:14:35,4/ We'll have multiple ICO blooms in 2018 centered around different regulatory and governance structures.  We'll se… https://t.co/3JnbMsSHpt
952574365283049472,2018-01-14 16:13:21,"3/ Decentralized exchanges will continue blossoming, but won't break 5% of total crypto trading volume."
952574213327605760,2018-01-14 16:12:45,"2/ The ""Bitcoin dominance index"" will bottom between 18-26%, and will end 2018 over 40%.  Bitcoin Cash will trade o… https://t.co/CGjWCQcFxe"
952573793612025856,2018-01-14 16:11:05,1/ Belated 2018 predictions.  Here's a list of forecasts for 2018.  I offer these humbly.  Most will probably be wr… https://t.co/2ceSeK4kPC
952564618764931077,2018-01-14 15:34:37,"@Nouriel I've been a fan of yours since 2008 Nouriel, but do 5 minutes of research.  The average BTC exchange offer… https://t.co/coyhDVXh1N"
952537608407707648,2018-01-14 13:47:17,@hugohanoi @lsukernik False binary.  The issue isn't that it gravitates towards centralization.  The question is *degree.*
952537508113469440,2018-01-14 13:46:53,"@hugohanoi @lsukernik One last time: the ""equivalent amount of hashpower"" argument is true.  NO ONE DISPUTES THAT.… https://t.co/SIbmQuM3xY"
952386703335088128,2018-01-14 03:47:39,@hugohanoi @lsukernik No one disputed that.  You're fixating on one tiny part of the security system.  A key questi… https://t.co/6lpYIDE0t6
952386352020099072,2018-01-14 03:46:15,@hugohanoi @lsukernik No one disagreed with this one narrow point.  What I'm pointing out is that raw energy consum… https://t.co/jNm8gIv8tD
952385031745523714,2018-01-14 03:41:00,@USRoute41 @tierrapartners @TheBondFreak @NecessaryPaper @amlivemon @RudyHavenstein @redforged42 @wesbury @jlaich… https://t.co/HI42hQPBuM
952384200417693697,2018-01-14 03:37:42,@amlivemon @USRoute41 @tierrapartners @TheBondFreak @NecessaryPaper @RudyHavenstein @redforged42 @wesbury @jlaich… https://t.co/0l5fck1iyn
952379731764236288,2018-01-14 03:19:57,@hugohanoi @lsukernik Simple debunk of your statement: consider what happens to the energy -&gt; security dynamic if B… https://t.co/rPZSbhCrpH
952379533965045760,2018-01-14 03:19:09,@hugohanoi @lsukernik 2/ and miner centralization is a function of many things.  Consider the effect of block size on Bitcoin game theory.
952379314288365573,2018-01-14 03:18:17,@hugohanoi @lsukernik 1/ You're stating an assumption as though it's fact.  Try this thought experiment: would it b… https://t.co/PwWIQtJS6w
952246409826308097,2018-01-13 18:30:10,@lsukernik @hugohanoi Disagree.  New medicines are often founs that are better in *all* regards.  Technological inn… https://t.co/aLcjNaKwP5
952243637760528384,2018-01-13 18:19:09,"@hugohanoi 4/ that was Satoshi’s innovation.  A specific combination of PoW mining, public key cryptography, and th… https://t.co/ZZ2Hdz1ZRm"
952242547321200641,2018-01-13 18:14:49,@hugohanoi 3/ improve the game theory or the tech and you might get equal security for less energy.
952242359521239041,2018-01-13 18:14:04,"@hugohanoi 2/ and Bitcoin isn’t just secured by energy, or it would t have take until 2009 to discover.  We could’v… https://t.co/Sx9JFEOnPb"
