id,created_at,text
953007803815231488,2018-01-15 20:55:41,"RT @TuurDemeester: 30 day trading volume, $ Billion: 
BTC - 447 
ETH - 130
XRP - 99
USDT - 78
BCH - 71
LTC - 41
QTUM - 30
TRX - 27
EOS - 22…"
951863147303813120,2018-01-12 17:07:13,"US Treasury Secretary Mnuchin: ""We want to make sure bad people can't use Bitcoin to do bad things""

Those markets… https://t.co/J07lJ3Vqf8"
951148145995522048,2018-01-10 17:46:04,RT @cryptomanran: Tomorrow night we host the big names in Crypto on ONE show Its an extended show where we ask them all on their views for…
951139784272969729,2018-01-10 17:12:50,"@bwest If I create a coin that has a supply of 1 trillion and it trades at 1 cent, it's actually expensive but appe… https://t.co/b6FBDt7nlb"
951138083520434178,2018-01-10 17:06:05,"Amazing. This is much needed context for the market.

Real prices today (see for yourself in column on right):

BTC… https://t.co/Qvqx9mbCzK"
950785439295619072,2018-01-09 17:44:48,"@AriDavidPaul @harry_sudock Agreed, i assumed it was just a friendly on-the-record jab"
950451443634352128,2018-01-08 19:37:37,RT @rusty_twit: Finished my 4000-word dense summary of ~20 proposed #bitcoin enhancements.  So much awesome!  Facing impossible task of cre…
950104269436305409,2018-01-07 20:38:04,"@btc_joe @NeerajKA @AriDavidPaul @cburniske Nope,  were a venture fund, not a hedge fund (also, only some hedge fun… https://t.co/CAbzEwLlPX"
949686527537266689,2018-01-06 16:58:07,Just a reminder: Most people in the world today live in an economic environment where wealth confiscation is a real… https://t.co/CvLowq5hcd
949377312000065537,2018-01-05 20:29:24,Saying other cryptocurrencies inflate the supply of BTC is like saying Argentine Pesos inflate the supply of USD. https://t.co/APzikEzYnq
949373554730176513,2018-01-05 20:14:28,"@crypto2045 Terrible logic. First, ONE firm reported no loss days and they do that b/c they have better access to i… https://t.co/9vUB3uVGPE"
949353463879671808,2018-01-05 18:54:38,RT @RadarRelay: Thanks to community feedback we started a Telegram group! https://t.co/l42gk0yE0H https://t.co/18EyaJLiVe
949348725528305664,2018-01-05 18:35:48,"Worst way to spend time in crypto in 2018?

Technical analysis! 

(Learn nothing about the technology, gain no insi… https://t.co/ZGTZXUy95V"
949288665162825728,2018-01-05 14:37:09,Impressive growth! And this is only beta product! @RadarRelay https://t.co/Yy3LwmYZNk
949267995632680961,2018-01-05 13:15:01,"RT @cburniske: “I can’t tell you exactly what’s going to happen with price, and neither can anybody.” -@CremeDeLaCrypto"
