id,created_at,text
952863186176286720,2018-01-15 11:21:01,@cz_binance what an amazing journey since that Chengdu hotpot dinner 6 months ago - world class execution by team @binance_2017
951491823981117440,2018-01-11 16:31:43,RT @monaco_card: @monaco_card is proud to support Crypto Weekly's inaugural 100 Most Influential People in Crypto which highlights innovato…
949295708783370240,2018-01-05 15:05:08,RT @monaco_card: Following reports https://t.co/1oFajMzzlm https://t.co/Rp8TIGxU4v that WaveCrest has been told by Visa to close all WaveCr…
949201334896549888,2018-01-05 08:50:08,It was a real pleasure to talk about cryptocurrency with HK legend @cnbcbernie - thank you for having me on the show https://t.co/kvsUQ009DI
943844875274878976,2017-12-21 14:05:28,"Meanwhile, on @monaco_card Slack channel... https://t.co/198BSlPhnu"
943797647525134336,2017-12-21 10:57:48,RT @monaco_card: We are happy to announce that $MCO will be listed on @hitbtc - #9 cryptocurrency market in the world - daily trading volum…
943368341078523904,2017-12-20 06:31:54,RT @monaco_card: Calling all #travelers! Monaco has added LoungeKey™ (https://t.co/Swme6imuB5) airport lounge access to Monaco Visa Platinu…
943053648564666368,2017-12-19 09:41:25,"RT @coin_post: 【後編】MONACO社CEOが語る仮想通貨やブロックチェーンの未来とは
Thank you for @Kris_HK &amp; @internetgene 

今度何度か仮想通貨の相場は乱れることが予想されるが、仮想通貨は世界的なムーブメントの序章に過ぎ…"
943030859694669824,2017-12-19 08:10:52,"Welcome to the team Sean, Erald, Ken &amp; Weiyi - we're really fortunate to have you join us on this amazing journey t… https://t.co/mSt0UhACWP"
942943628451766274,2017-12-19 02:24:14,"RT @monaco_card: For the first time, the $MCO 30-day trading volume has exceeded $1 billion! https://t.co/hP8P7NEWey #cryptocurrency https:…"
941307727912976384,2017-12-14 14:03:45,"Monaco is not planning on slowing down... Next week, we have THREE announcements coming out. New exchanges, product… https://t.co/MGuyxkga5x"
939367074073210880,2017-12-09 05:32:17,"@elonmusk Skynet is already here, I think you need to speed up with this Mars thing. https://t.co/QyATlH4cX1"
938997102784344064,2017-12-08 05:02:09,RT @monaco_card: Nice feature of #MonacoVisa by ZDNet Korea from their interview with @internetgene! It highlighted that Monaco offers mult…
938046770004639745,2017-12-05 14:05:52,We’re happy to announce that NEXT WEEK $MCO token will be listed on several Korean and Japanese exchanges. One-two punch! @monaco_card
937864083428204544,2017-12-05 01:59:56,"RT @monaco_card: UPbit Korea, one of fastest growing exchanges globally, lists Monaco’s $MCO token (https://t.co/h36dDKaxcU) Note: For this…"
937574849978933248,2017-12-04 06:50:38,Excited to announce FOUR exchanges listing $MCO tomorrow - massive support from key industry players in Asia! Stay… https://t.co/ilhAfDHNqP
936827035250450433,2017-12-02 05:19:05,We anticipated the coming wave of token delistings months ago and took necessary steps to make sure $MCO is not affected @monaco_card
935436281646956550,2017-11-28 09:12:43,@peacefraternity pure photoshop
933700843756335104,2017-11-23 14:16:43,Meanwhile on our Slack Q&amp;A: $MCO listing on multiple new exchanges in December. https://t.co/KDhfvFnrBO
932226963095220226,2017-11-19 12:40:02,RT @internetgene: Monaco team at Ethereum Foundation meetup in Guangzhou China! I was present on stage with Monaco Visa metal card! People…
930331520945897472,2017-11-14 07:08:13,"Monaco placed the first 500,000 cards order to Gemalto #cryptocurrencyineverywallet #gameon https://t.co/COoRzhbkr4"
928554645856796672,2017-11-09 09:27:33,"Dream wallet. More news from @monaco_card on Tuesday, Nov 14. https://t.co/PXtJkJKdTg"
928554423164399617,2017-11-09 09:26:40,RT @monaco_card: Unveiling the finalized and approved designs of the #MonacoVisaPlatinum cards! Learn more about our full portfolio at http…
925930759310815233,2017-11-02 03:41:10,Happy to read Bloomberg's follow up piece on @monaco_card becoming a Visa program manager - crucial step on the roa… https://t.co/g32FwE6dNO
925313952606707712,2017-10-31 10:50:12,RT @monaco_card: Monaco Card Program Receives Green Light https://t.co/bR0oBk4W2K
917710623055605761,2017-10-10 11:17:17,"RT @monaco_card: Brent Diehl joins #Monaco as SVP, International Expansion to lead global rollout: https://t.co/qaWDIPJXwd"
917387671042850816,2017-10-09 13:53:59,"RT @monaco_card: Stay tuned for the next Monaco Dev Update on Wednesday, Oct 18th"
914887059671744512,2017-10-02 16:17:27,(3/3) I'm sure the title will get plenty of clicks. I recommend re-visiting the story in 7-14 days.
914886874606514177,2017-10-02 16:16:43,"(2/3) We are following the appropriate process and that we are bound by NDAs. Reporter had no new information, all info was already public."
914886308396376064,2017-10-02 16:14:28,"(1/3) I would call this article poor reporting, but we told the reporter exactly the same thing as what we told the Monaco community:"
911268074237644801,2017-09-22 16:36:54,"RT @marting: 10 years from now - it's 2027, we'll look back and say, how did the financial system not see all this coming?"
906011291910774784,2017-09-08 04:28:19,"RT @monaco_card: 10,000 #MonacoCards successfully reserved by our users since Aug 31. THANK YOU for your support! https://t.co/FiuPU9l1ZD"
904747655779172352,2017-09-04 16:47:05,"This is correct - MCO was issued by a Swiss co. Also, Monaco did not raise any funds via China ICO platforms during… https://t.co/Q65kJrA9wN"
903608419642249216,2017-09-01 13:20:10,RT @monaco_card: Over 5000 #MonacoCards reserved within the first 24hrs of #MonacoApp launch! HUGE THANKS to #MonacoCommunity for your trus…
903279890627149825,2017-08-31 15:34:42,@WolfOfPoloniex @monaco_card 1) Monaco is not selling a single token 2) we addressed the leak instantly and publicl… https://t.co/ZFKBJWMvyA
903207033716916224,2017-08-31 10:45:12,"RT @monaco_card: I just published “Monaco Dev Update — Cryptocurrency in Every Wallet, Part 1” https://t.co/aJEXdbLcnJ"
902888103597096962,2017-08-30 13:37:53,This is NOT the final version of the Monaco website and Visa has not approved our program yet - we are investigatin… https://t.co/l8JM724uLd
901269875946999808,2017-08-26 02:27:37,Check out our website and apps on Aug 31 https://t.co/HOikz3VJnJ
898946387638759425,2017-08-19 16:34:55,Our focus is on delivering an amazing product - that's what we can control. https://t.co/3Fdv0UwnCU
898937823931138052,2017-08-19 16:00:53,Ignore the hype and focus on the fundamentals - we are bringing cryptocurrency to every wallet. Only ~6m crypto hol… https://t.co/ACjwOD3Xd9
897736158053924864,2017-08-16 08:25:53,Thrilled to be partnering with @binance_2017 - MCO starts trading in China Aug 23rd https://t.co/NycsY5U8LR
897411276762001408,2017-08-15 10:54:56,RT @monaco_card: CEO Kris @Kris_HK &amp; MD Bobby @internetgene shared Monaco's development priorities and strategic visions w/ leading Chinese…
897040847815843840,2017-08-14 10:22:58,RT @monaco_card: Monaco is taking #crypto mass market - find out more from our CEO @kris_HK on @IBTimes https://t.co/2PFcK4mtkr https://t.c…
882913171782025216,2017-07-06 10:44:38,"RT @Gatecoin: @monaco_card's $MCO token now listed on Gatecoin!
https://t.co/1lkBCy7xED https://t.co/ZGxoYG9PcR"
881970153931522048,2017-07-03 20:17:25,RT @monaco_card: MCO on Coinmarketcap! https://t.co/IkG6EPEQpS #Monaco #Bittrex #ICO #ETH #BTC @CoinMKTCap @monaco_card
881501729287581696,2017-07-02 13:16:04,"RT @monaco_card: MyEtherWallet updated, MCO ready, no need to Add Custom Token. Thanks to @myetherwallet #Monaco #Bittrex #ICO #ETH #BTC @m…"
881336869300121600,2017-07-02 02:20:58,"The new $MCO token contract address: 0xB63B606Ac810a52cCa15e44bB630fd42D8d1d83d
Name: Monaco
Symbol: MCO
Decimals: 8"
881336536737882112,2017-07-02 02:19:39,"Important Update: in case you are getting BadJump error message, please remember to add the new MCO token to your wallet first"
881328860591046656,2017-07-02 01:49:09,@SpiryBTC @monaco_card @SpiryBTC we have sent multiple e-mails to users regarding token re-issue over the last two… https://t.co/c9wmOMbCDw
881081485947584512,2017-07-01 09:26:10,Looking forward to our first day of trading! Many thanks to  @BittrexExchange for supporting @monaco_card https://t.co/JnAvdn0yjq
876677468509294592,2017-06-19 05:46:11,We're humbled by the trust and support blockchain community has given @monaco_card - a heartfelt THANK YOU to all p… https://t.co/GiYfPtsKGD
