id,created_at,text
953240196840964096,2018-01-16 12:19:07,@AnjaBlaj I wouldn't know! But that sounds pretty reasonable. However it might be complicated if there are many con… https://t.co/yXhKppRuml
953237168264134661,2018-01-16 12:07:05,"@WesselReijers I'm not aware of the long history of human collaboration, so I can't really say either way, but my f… https://t.co/H1F0Z7L0d7"
953236401272664065,2018-01-16 12:04:02,"@AnjaBlaj I'm not sure what you mean by ""demand compensation from where they live""!"
953235639297699840,2018-01-16 12:01:01,@AnjaBlaj Wellll there are ways to trust software from authors whose addresses aren't known.. for example they may… https://t.co/QN1dI8r2Qf
953224563642396672,2018-01-16 11:17:00,"Seems like if you care about not giving your address away, you shouldn't let anyone use your software :P"
953223186400849922,2018-01-16 11:11:32,Advice from lawyer to core protocol devs: https://t.co/l3ijd9xrmg
953218880482181120,2018-01-16 10:54:25,@propelforward @palleylaw What if/when there's multiple consensus compatible implementations of the software?
953216716850515968,2018-01-16 10:45:49,@propelforward @palleylaw So there is definitely some extent to which blockchain governance exists inside various j… https://t.co/ieP10unRLE
953216242269278209,2018-01-16 10:43:56,@propelforward @palleylaw But it's not like we get to decide the structure of the blockchain. It's software running… https://t.co/ZJffFDjpMI
953215622862770176,2018-01-16 10:41:29,@federicobond But there's lots of room for politics around these processes
953215447058538496,2018-01-16 10:40:47,@federicobond There is actually quite a lot of formalized process (e.g. BIPs) and some formalized norms (e.g. don't… https://t.co/wxB1Z4OsdX
953214940638253056,2018-01-16 10:38:46,"@propelforward @palleylaw Sure, but being paralized by fear will certainly not work"
953213736722067456,2018-01-16 10:33:59,@propelforward https://t.co/YwKgHvTHVR
953213310354251776,2018-01-16 10:32:17,"@palleylaw Sure it does, it has a very real relationship - e.g. Bitcoin governance only does soft fork partly becau… https://t.co/t4bd3bxDiK"
953212643665424384,2018-01-16 10:29:38,@propelforward what if that's because of legal uncertainty around participating in a process that  e.g. returns stolen funds
953211873264066560,2018-01-16 10:26:35,@bravenewcore @NickSzabo4 @kate_sills @udiWertheimer Governance can definitely degrade and become corrupt over time… https://t.co/O1IO7WN9fX
953210680550797312,2018-01-16 10:21:50,@NickSzabo4 @kate_sills @udiWertheimer But at what cost? Autonomous software is not necessarily your friend; it doe… https://t.co/76770S674V
953210147773603840,2018-01-16 10:19:43,... [at all costs] https://t.co/HeHVtiJj5k
953209745518800896,2018-01-16 10:18:07,One of the biggest threats to the effectiveness of blockchain governance is the fear of legal consequences https://t.co/P0TdrZjBM6
953203868887867393,2018-01-16 09:54:46,"@palleylaw @TokenHash And when you get it wrong, the bad decisions or gridlock that you get show why it's no one's friend"
953203740160548864,2018-01-16 09:54:15,@palleylaw @TokenHash Or maybe it develops over time and we stop encouraging people to replace the existing (develo… https://t.co/nsKfDCxPxD
953203554256375810,2018-01-16 09:53:31,@palleylaw @TokenHash Not nearly as concerning as the fear of legal liability preventing the development of effective blockchain governance
953203402368077825,2018-01-16 09:52:55,"@TokenHash How is this not concern trolling, using the law to push your ""conservative"" agenda for blockchain governance?"
953202526341554176,2018-01-16 09:49:26,@TokenHash Imagine the government somehow mandates a hard fork
953202392325066753,2018-01-16 09:48:54,"@TokenHash You openly have a ""conservative governance"" agenda that is explicitly against any hard fork that changes… https://t.co/zoRHyCL3WE"
953202056512368640,2018-01-16 09:47:34,@TokenHash How is this not concern trolling? It's a concern is it not?
953186809416159232,2018-01-16 08:46:59,@timelessdev Not that I'm aware
952909071581110272,2018-01-15 14:23:21,"@udiWertheimer @kate_sills Yep it's ""governance"" as far as you're normally concerned"
952859597567610880,2018-01-15 11:06:45,@udiWertheimer iunno :)
952847713078595585,2018-01-15 10:19:32,@mariusene Lol someone retweeted it onto my feed
952846614644879360,2018-01-15 10:15:10,@WesselReijers Yeah! Only imagine if there were still no textbooks spelling out moreorless non-controversial descri… https://t.co/eJ0q3vIwRu
952814909561110528,2018-01-15 08:09:11,"@kate_sills I don't know much about collective action, but given what I know about coordination games it seems like… https://t.co/jfPDdE1gTX"
952802879903076352,2018-01-15 07:21:23,"@sudo_script It's not obscured, it's new, still developing, and wasn't the result of a declaration or incorporation… https://t.co/0v63HpxSf9"
952797030610501632,2018-01-15 06:58:08,"@TokenHash you were concern trolling w ""blockchain gov participants might be liable if it changes the state of the… https://t.co/dUvQt53n1R"
952794917683769344,2018-01-15 06:49:45,"@wuehler @TokenHash well, they gave up on the particular proposal, the general question about the  EIPs/core dev pr… https://t.co/zeP0QR3STF"
952794027056869377,2018-01-15 06:46:12,"@TokenHash no way, the law and accounting practices didn't stop existing, or anything"
952793735955402752,2018-01-15 06:45:03,"@TokenHash Are they? And it's one thing to talk about the protocol spec, and another to talk about the software people run on their nodes :P"
952791574513111040,2018-01-15 06:36:28,"@TokenHash yeah, and a local software upgrade is different because?"
952791293989703680,2018-01-15 06:35:21,"@TokenHash The protocol is definitely a global permissionless machine...

No one is interfering with accounting or… https://t.co/e8Dxt4QlnW"
952789681703456768,2018-01-15 06:28:56,"@TokenHash There are lowest common denominators when it comes to ethics (srsly, it's something sociologists study),… https://t.co/0CglcggB2K"
952789032982937600,2018-01-15 06:26:22,"@TokenHash of course, so might running a node, and so might not doing a particular upgrade

""it depends"""
952788328885178369,2018-01-15 06:23:34,@ecoinomia wish we had a spec for the language participants use :p
