id,created_at,text
952043134371823616,2018-01-13 05:02:25,@LordN_Ninja This is not real.
951461582424358912,2018-01-11 14:31:33,@MoneyGram @Ripple And to be clear: @MoneyGram announcement is one step in a marathon ahead to truly make $XRP the… https://t.co/KORY7Zf0ja
951458079777763328,2018-01-11 14:17:38,@MoneyGram @Ripple We’re proud to work with companies like @Moneygram that value innovative payments solutions – an… https://t.co/UBwgrZKkWs
951457716660142081,2018-01-11 14:16:11,I'm pleased to be able to share @MoneyGram has partnered with @Ripple to use $XRP in their payment flows.
950781414806441984,2018-01-09 17:28:48,The importance of education in action:  lots of FUD around crypto that is unfounded because the loudest voices aren… https://t.co/CBZ9x0FS5P
950402980527747072,2018-01-08 16:25:02,"RT @JoelKatz: Coinmarketcap's decision to exclude Korean prices from the displayed XRP price made the price appear to drop, likely triggeri…"
949346890046255104,2018-01-05 18:28:31,Was a pleasure speaking with @paulvigna about $XRP and @Ripple – this is a fair and balanced piece I can get behind. https://t.co/bhSHfAJt68
949146029907062787,2018-01-05 05:10:22,@nathanielpopper then why did you tweet this without doing the 2 interviews we arranged for you!!? You have those n… https://t.co/DeLrXvdzsm
949129952716234752,2018-01-05 04:06:29,@nathanielpopper Over the last few months I’ve spoken with ACTUAL banks and payment providers. They are indeed plan… https://t.co/LWhzqwZ7EF
948978500509220864,2018-01-04 18:04:40,"I’ve been getting a lot of questions about $XRP this week - can’t imagine why! 

The team here at @Ripple put toget… https://t.co/OmEMPu0cig"
948594824596213762,2018-01-03 16:40:04,Caught up with @joelcomm and @teedubya on @badcrypto about $XRP and how its real use case sets it apart from other… https://t.co/I2Sc8Ee4wh
947893299632893952,2018-01-01 18:12:28,"RT @qz: Here are the top 10 cryptoassets of 2017 (and bitcoin’s 1,000% rise doesn’t even make the list) https://t.co/Yo5CCzSwFb"
947885853430476800,2018-01-01 17:42:52,I think the more interesting question might be whether or not @Coindesk would make the list of most influential med… https://t.co/ZqcVCL0tbk
947540669668712448,2017-12-31 18:51:14,"Proud to be ending 2017 with incredible momentum on a number of fronts!  

A huge, heartfelt thank you to the amazi… https://t.co/LwYbZpKsOS"
946956278768713728,2017-12-30 04:09:05,"RT @VitalikButerin: *All* crypto communities, ethereum included, should heed these words of warning. Need to differentiate between getting…"
946850607289077760,2017-12-29 21:09:11,@haydentiff @MohmdTBA @GeneFojtik @Ripple @JoelKatz @Hodor7777 so are marriages ;)
946850388384276481,2017-12-29 21:08:18,@z____a____k @Ripple no.  Q4 XRP markets report will be published in Jan.  We always publish it in the first couple… https://t.co/dBl90QvFB8
946475077708730368,2017-12-28 20:16:57,RT @ashgoblue: .@Ripple does @jimmykimmel Mean Tweets https://t.co/CLG9NbkQOY
946117161352945664,2017-12-27 20:34:43,Tune in to @BloombergTV at 5:10pm ET today where I’ll chat with @CoryTV about the recent crypto boom
946078426036711424,2017-12-27 18:00:48,Enjoyed discussing all things crypto with @davidfaber @MorganLBrennan @michaelsantoli on CNBC’s @SquawkAlley this m… https://t.co/ICHjqtZh08
945792913543434241,2017-12-26 23:06:17,"I appreciated all of the compliments on our Team #Ripple jackets from my AMA. It's the season for giving, so we're… https://t.co/E8XWoCGvqA"
944693883782516737,2017-12-23 22:19:08,"RT @kevinrose: I'd like to do more cryptocurrency interviews on my podcast, should I do them in a: (thanks for your feedback)"
944693722779922433,2017-12-23 22:18:29,RT @ashgoblue: My interview with @JoelKatz is up on insights @Ripple https://t.co/H3PG6Cr2HM
944633411427119104,2017-12-23 18:18:50,good reminders (at least for me!) as we reflect upon 2017 and plan for 2018 https://t.co/Ouwk5chpcu
944325730338357248,2017-12-22 21:56:13,"I’ll let the headline speak for itself. $xrp 

https://t.co/RqtnvZWd0d"
944325257514455040,2017-12-22 21:54:20,Props to @chengevelyn – one of the first to go beyond the surface and catch the stats that prove $XRP is the best p… https://t.co/qZHsYPYtUC
943894539386830853,2017-12-21 17:22:49,$XRP is now on 50 exchanges around the world! Team Ripple will continue to champion additional listings to foster a… https://t.co/XyPeMukBG8
943145606553395200,2017-12-19 15:46:50,"Welcome Zoe!  We’re thrilled to have you join us as we work towards our vision of an #internetofvalue

 https://t.co/Ax0XGAZLr3"
942794605023469569,2017-12-18 16:32:04,the value of digital assets will be driven by their utility.  And the SEC has been clear that tokens without a purp… https://t.co/6nkWlfV3yv
942792999209115648,2017-12-18 16:25:41,Class action lawyers have been salivating about the ICO frenzy... we are going to see more of these in the weeks an… https://t.co/1mPCgBeEOc
942791722576199681,2017-12-18 16:20:37,@brunogunn @haydentiff @Dizer_Y @Ripple @miguelvias @MonicaLongSF I'll make sure the team gets you all taken care of!
941747806183743488,2017-12-15 19:12:28,"@ChainShah @Ripple @PanteraCapital @BNN Vishal, it's irresponsible to pontificate without knowledge.  If you'd like… https://t.co/30PWibM3ye"
941731862023585792,2017-12-15 18:09:07,“Proof of work is a problem. So maybe you could get rid of it.” - the brilliant @joelkatz thought the same thing an… https://t.co/IpmlNe3XF7
941485981537935360,2017-12-15 01:52:04,"RT @xrptips: ""@JoelKatz is the #StephCurry of #cryptocurrency"" - @bgarlinghouse"
941474094427422720,2017-12-15 01:04:50,"Answering your questions live today at 5:15 pm PT, you can check it out here: https://t.co/YCqZdv6u02"
941375649549246464,2017-12-14 18:33:39,Bloomberg welcomes $XRP to @theterminal and gets it right – #2 market cap behind $BTC at ~$80B! https://t.co/m9sFdKhXNR
941196471214288896,2017-12-14 06:41:39,Today $XRP was officially more popular than both Kylie Jenner and the Rock and Roll Hall of Fame! (and far more use… https://t.co/2gixNFFSAv
941133825886711808,2017-12-14 02:32:44,RT @arrington: Glad to see $XRP gaining. The seven day chart is stunning https://t.co/Ew3VVZeU9r @ripple
941096203042746368,2017-12-14 00:03:14,"I'll be answering your questions #live tomorrow (12/14) at 5:15 pm PT, reply to this tweet with your question and y… https://t.co/qquF0GFiwr"
940806146092396547,2017-12-13 04:50:39,@brooksethomas 4/ we are also starting to proactively work with others in the industry to leverage $XRP given its i… https://t.co/rZdcs6zb0v
940806043461877760,2017-12-13 04:50:14,@brooksethomas 3/ it's clear we can do more to educate the market about our momentum AND the unique attributes of… https://t.co/4wIlCPkhi4
940805958179131397,2017-12-13 04:49:54,"@brooksethomas 2/ thus far, we are the ONLY #blockchain player with real enterprise customers and a defined and pro… https://t.co/hWLMPcjIrs"
940805844035342337,2017-12-13 04:49:27,@brooksethomas 1/ a healthy $XRP market and healthy $XRP ecosystem is CRITICALLY important to me.  And it is indeed… https://t.co/EoXTLd6SfI
940805453877039104,2017-12-13 04:47:54,@brooksethomas both good questions! Twitter's kinda a tough place to go very deep on our strategy - but i'll give it a shot
940802638303711232,2017-12-13 04:36:42,Thanks for your support @yoshitaka_kitao! https://t.co/dTamgSmPuW
940718758481485825,2017-12-12 23:03:24,I applaud Jay Clayton and the SEC for making the risks of ICOs clearer in their statements. “Many of these assertio… https://t.co/Oi07D5vBMB
940663812142727168,2017-12-12 19:25:04,RT @justmoon: Practically anyone can claim they’re faster and cheaper than BTC - but proof-of-work chains provide no incentive to be good f…
940271720887447552,2017-12-11 17:27:02,Historic day for crypto – demand for bitcoin futures is so high it 'breaks the internet'! But critical to remember:… https://t.co/UWB1VNVpoO
940086505212600321,2017-12-11 05:11:03,"A public service announcement for the holiday party season:  remember, no one was ever promoted because of their be… https://t.co/M9V4Ojmp0L"
938933791145336832,2017-12-08 00:50:35,"Boom! 55B $XRP now in escrow. Good for supply predictability and trusted, healthy $XRP markets.  Glad to finally le… https://t.co/D6dkvLseGG"
938667992346386432,2017-12-07 07:14:23,"Had a great time kicking off the #MITblockchain series with @juanbenet, @grantfondo, @joeykrug, @JakeSeid. Covered… https://t.co/tVMAaLh4E0"
938653678377955328,2017-12-07 06:17:30,@Xi_195 @Ripple I said as much at the #MITBlockchain event this evening.  In fact Ripple is partnering and will inv… https://t.co/IgXg2BfG01
938652808609271808,2017-12-07 06:14:03,"RT @Xi_195: 1/ While x-border payments is @Ripple‘s laser focused use case for $XRP, @bgarlinghouse &amp; co. need to publicly acknowledge that…"
938181745203019776,2017-12-05 23:02:13,"RT @danprimack: If you get defrauded on cryptokitties, that's not on the cryptokitty seller or the SEC. That's on you."
937931668089856001,2017-12-05 06:28:30,"If cuddly kittens have ""hastened the #ethereum scaling crisis"" it's nearly impossible to imagine how the many… https://t.co/rnVtvcrSd7"
937856282219888640,2017-12-05 01:28:56,"Latest from @theinformation nails it. Real utility is critical
""...specific vertical use cases like bank-to-bank cr… https://t.co/OEXSTlZQlh"
937750082346086400,2017-12-04 18:26:56,"Anyone surprised by the latest SEC action isn't paying attention.  I sound like a broken record, but regulators are… https://t.co/21HAD3lt41"
936690980018839552,2017-12-01 20:18:27,"""Paying a big fee to order new furniture or even buy a cup of coffee may be further reason for consumers to pass on… https://t.co/VDju4J0Egv"
935622897447530496,2017-11-28 21:34:16,Whoa! $100M #XRP fund courtesy of tech visionary @arrington. One of the largest crypto funds ever. https://t.co/sHIOJDniPZ
935225940845711366,2017-11-27 19:16:54,"Ripple &amp; $XRP are giving businesses ""what they want in a #blockchain"" https://t.co/b6q6ZXFtie"
933437163445743616,2017-11-22 20:48:56,"Holiday, schmoliday!  Team Ripple is absolutely committed to building XRP liquidity - and in that context...

Very… https://t.co/syLwVOM277"
933367641435230210,2017-11-22 16:12:41,@HunainNaseer If you believe that then you don’t understand Ripple’s strategy
933345393953222657,2017-11-22 14:44:17,"It may be a holiday week in the US, but Team Ripple is not resting!  Another corridor going live... amazing progres… https://t.co/eP4r0RYyc0"
933090753642766337,2017-11-21 21:52:26,This is just the beginning of many to come. I've been saying all along: a lot of ICOs are fraudulent https://t.co/9gv6g3sf5K
932034797647511552,2017-11-18 23:56:26,"@chughesjohnson @Lethain @JorgeO ha... indeed, a white lie in service of the grander point. FWIW, i prefer the crun… https://t.co/qMxrTtj5tT"
931232398724939777,2017-11-16 18:47:59,"Thrilled to welcome @AmericanExpress to @Ripple's blockchain network, partnering with @SantanderUK to make instant… https://t.co/qcXD3slAXE"
930896248961359873,2017-11-15 20:32:15,"""That’s the scale legitimacy investors need to consider, because Ripple is not trying to burn down the existing fin… https://t.co/5gGGS5yZgt"
930895933063045120,2017-11-15 20:31:00,Thanks to @taavet @choncholg and Tim Grant for the very lively and real discussion on breaking through the payments… https://t.co/udsBtv1Ych
930205857874288641,2017-11-13 22:48:53,proud to have led the Central Bank Summit where Ripple gathered central banks from around the world to discuss the… https://t.co/KMA9DeXpu6
923628746971549696,2017-10-26 19:13:48,RT @ashgoblue: This is exactly what is wrong with the ico market.  https://t.co/4Mr9KbCaCR
920686716842803200,2017-10-18 16:23:13,RT @Ripple: Here's a link to the recorded Q&amp;A w/ @bgarlinghouse.  We apologize for the technical difficulties. https://t.co/6JEpNl0MdC
920417329435107328,2017-10-17 22:32:46,Heard from many of you this week. Happy to answer questions tomorrow on #Swellbyripple Livestream at 10:45amEST @mention me your questions
920416990203871232,2017-10-17 22:31:25,@ONEXCapital https://t.co/w1INWMUZ4B
920384106747359232,2017-10-17 20:20:45,RT @ashgoblue: Standing room only and ready for @VitalikButerin and @justmoon @DelRayMan and others and #swellbyripple https://t.co/yPjZ5ft…
920261472227332096,2017-10-17 12:13:27,The blockchain convo needs more voices like @benbernanke who get the nuances of tech AND regulations https://t.co/nIgyhV3LmK #SwellByRipple
920036813422714880,2017-10-16 21:20:44,RT @garyste38128912: @acovone1 @DelRayMan A tsunami is also a catastrophic disaster which destroys the progress of society 😂
920017169894793216,2017-10-16 20:02:41,@BLR13 @Ripple Honored to have hosted @benbernanke at #SwellbyRipple and enjoyed hearing his thoughts on @Ripple an… https://t.co/XUijxfB1CS
920017078052098048,2017-10-16 20:02:19,RT @BLR13: Bernanke at @Ripple Event: #Blockchain Has 'Obvious' Benefits in Payments https://t.co/lxgwWh1x8G Not so much #bitcoin... #Swell…
919996877013123072,2017-10-16 18:42:02,Amazing work with amazing people! https://t.co/hHFXxysqYV
919258602216423425,2017-10-14 17:48:24,RT @smarquer: Ripple looks to drive bank adoption with $300m XRP rebate programme https://t.co/kGysy4t15M via @Finextra
