id,created_at,text
953300700678819840,2018-01-16 16:19:33,@h_pufnstuf @Crypt0cracy @CryptoId2 @YouTube Me/people. I live in a glass house and always willing to discuss any s… https://t.co/sISXv3znSf
953300323216625664,2018-01-16 16:18:03,@Crypt0cracy @h_pufnstuf @CryptoId2 @YouTube I've never done or been involved in any such thing. You're entitled to… https://t.co/yjmSjIB2Oz
953299338872180736,2018-01-16 16:14:08,@MooreJared0 @lyn2507 @AnonTurtle10101 @YouTube Your attitude manifests your reality.
953298692378955776,2018-01-16 16:11:34,@GabeR0ka @officialmcafee @YouTube You weren't forced to watch my hours of talks. Clearly my words don't resinate w… https://t.co/DecT0ambA5
953297329389539328,2018-01-16 16:06:09,@whatbitcoindid @WarrenSmyth @YouTube Direct message me.
953296846360899584,2018-01-16 16:04:14,RT @EOS_io: https://t.co/Ny287kP4An and TOMORROW BLOCKCHAIN OPPORTUNITIES announce formation of EOS.IO Blockchain Focused Fund https://t.co…
953268113067278337,2018-01-16 14:10:03,@Crypt0cracy @Crypto_MrBurns @VentureCoinist @Falkvinge @VitalikButerin @brian_armstrong It’s a fictional film pret… https://t.co/jLK6D97kty
953267388174163969,2018-01-16 14:07:10,@GabeR0ka @officialmcafee @YouTube “We all know the possibilities” - are you sure the entire world is informed? You… https://t.co/EKQdxktoOp
953266966315253762,2018-01-16 14:05:30,"RT @Hellfish_: #EOS token holders to receive to @Everipedia IQ Tokens!

.......and other updates.

@EOS_io @BrendanBlumer @brockpierce @byt…"
953266903778172928,2018-01-16 14:05:15,@whatbitcoindid @WarrenSmyth @YouTube Sure.
953266779320717313,2018-01-16 14:04:45,@Crypt0cracy @h_pufnstuf @CryptoId2 @YouTube Agreed. Glad to see you keeping me people honest.
953146107592232961,2018-01-16 06:05:15,@Crypt0cracy @Crypto_MrBurns @VentureCoinist @Falkvinge @VitalikButerin @brian_armstrong What have I done wrong so far?
953145894668443648,2018-01-16 06:04:24,@01101111G @officialmcafee @YouTube 🦄🎩🙏🏼
953145835113537536,2018-01-16 06:04:10,RT @01101111G: @brockpierce @officialmcafee @YouTube Wonderful speech.. Your talks are always inspirational.. I still remember your talk at…
953139317848723457,2018-01-16 05:38:16,RT @EOS_io: Got a lot of great photos from the #EOS #Seoul Meetup. Will be sharing them soon. https://t.co/90AAFyy16j
953137592362389504,2018-01-16 05:31:25,@pcspecops1 @officialmcafee @YouTube 🦄🎩🙏🏼
953137567628640256,2018-01-16 05:31:19,"RT @pcspecops1: @brockpierce @officialmcafee @YouTube Peace, Love and Unity! Preach it dude. The Blockchain will change everything and make…"
953137282852184065,2018-01-16 05:30:11,@Crypt0cracy @Crypto_MrBurns @VentureCoinist @Falkvinge @VitalikButerin Certainly not. I believe we can do things right.
953136544725975040,2018-01-16 05:27:15,RT @naval: Software is gnawing on Venture Capital.
953136525226606592,2018-01-16 05:27:10,"RT @naval: Seed is the new Series A. 

ICO is the new Series B."
953136483304587264,2018-01-16 05:27:00,"RT @naval: Yes, ICOs are creating a bubble lemon market right now.

But long term, ICOs unbundle advice, control, and money, and remove the…"
953105660480126976,2018-01-16 03:24:31,"RT @Fawakatube: @brockpierce I love this guy. Every time I feel insecure I listen to HIM, everything becomes clear a gain. I don’t have/own…"
953105148267528192,2018-01-16 03:22:29,RT @TheElementGrp: We are excited to present the first episode of CNBC Crypto Trader in 2018 with @cryptomanran! Learn from the best: @BKBr…
953104983053844482,2018-01-16 03:21:50,@h_pufnstuf @CryptoId2 @YouTube That’s mostly true. Wasn’t my house. Doesn’t make the entire story true.
953104738395959296,2018-01-16 03:20:52,@CryptoId2 @YouTube And you believe everything you read? Try looking deeper.
953082721844174849,2018-01-16 01:53:22,@ecominvestor @coinegee @WarrenSmyth @YouTube 🦄🎩🙏🏼
953082518089027584,2018-01-16 01:52:34,@CryptoId2 @YouTube I’d suggest you do more research but seeing as you’re paid to post this is rather ask who you work for?
953082312475869184,2018-01-16 01:51:45,@Youngburg10 @Hodl8333 @YouTube 🦄🎩🙏🏼
953082065645223936,2018-01-16 01:50:46,@CryptoPr0phet @Crypto_MrBurns @YouTube Do some research.
953072307768995840,2018-01-16 01:12:00,@Reknown14 @DNA_fund
953072221932601344,2018-01-16 01:11:39,@shitposterchild @WarrenSmyth @YouTube Keep learning and you’ll make your million. I teach people how to fish.
953071939714625537,2018-01-16 01:10:32,@bshivarthy Altucher is one of the many things wrong with the market.
953071626714664962,2018-01-16 01:09:17,@ckwitt3 @jmover I think it’s awesome! 🦄🎩🙏🏼
953071277048082432,2018-01-16 01:07:54,@jmover I think you should watch the entire video and do a little more research for calling someone a scammer consi… https://t.co/UU0MFdkrpt
953070423624708096,2018-01-16 01:04:30,@AnonTurtle10101 @YouTube By making a decision to change ones mentality and teach others there is another way. A wo… https://t.co/7IZDdGiNSw
