id,created_at,text
908140816924688384,2017-09-14 01:30:17,"Enjoyed this @twentyminutevc w/ @kutecht @HarryStebbings on VC as a way of life, post mortem deal analysis and more https://t.co/kGAgkZwdGq"
898299801279709184,2017-08-17 21:45:36,RT @Interledger: We've partnered w/ @BitFuryGroup to make the @Lightning network compatible w/ the Interledger protocol https://t.co/DLQQHQ…
894973755826421760,2017-08-08 17:29:05,Excited to see @UniofOxford getting into #fintech &amp; honored that @Ripple will be included in the inaugural course https://t.co/ACC7Pc1SaE
893148661940486144,2017-08-03 16:36:49,My friend Matthew shares his son Carter's story w/ hope of preventing &amp; helping families facing child brain injuries https://t.co/07WHCz3wiW
888472625558585344,2017-07-21 18:55:55,Proud of the work done by team @Ripple w/ @federalreserve Faster Payments Task Force to drive #payments innovation https://t.co/c9rNi5gFLh
888470867629416449,2017-07-21 18:48:56,RT @Ripple: Sharing results from Q2 2017 - one of the most significant quarters to date for #XRP markets https://t.co/cVJzDxfQom
882310751267860480,2017-07-04 18:50:50,".@EPICprivacy Experts, Privacy Groups Oppose Demand for State Voter Records https://t.co/petk3XhBNK"
875022172174942208,2017-06-14 16:08:37,Supermodel Teaches At Stanford: How To Learn About Personal Branding With Tyra Banks via @forbes https://t.co/fpAhW0E7iz
826834078955495424,2017-02-01 16:46:20,RT @diliprao: Congratulations to @NBAD as the first bank LIVE in production on the @ripple blockchain for cross-border payments! https://t.…
824668751689764865,2017-01-26 17:22:06,RT @copernicc: Melinda Gates is using her unique position to help women in tech https://t.co/46f0fe614g via @qz
824038765421170688,2017-01-24 23:38:46,"RT @gatesfoundation: Study finds increased access to mobile money has reduced poverty in Kenya, particularly in female-headed households. h…"
823661982507094017,2017-01-23 22:41:34,RT @Ripple: Alex Tapscott: the #InternetofValue Genie is Out of the Bottle #TEDX https://t.co/KC1ZWTYSo1
822123932144705536,2017-01-19 16:49:54,"RT @melindagates: Many think global poverty is getting worse. But we’re actually experiencing the fastest progress we've ever seen. 
https:…"
821806674398703616,2017-01-18 19:49:14,Congratulations to @RyanZagone for his recognition from @BAFT_Global! https://t.co/0QavpLe3DA
821345124567220224,2017-01-17 13:15:12,"Very proud to be part of this, and helping to steer HSBC's strategy for cybersecurity and #fintech innovation. https://t.co/BVazhF1TwH"
819984747568865280,2017-01-13 19:09:33,RT @bgarlinghouse: Glad to see that @swiftcommunity is beginning to see things our way. https://t.co/ewrDHPt9bX
