id,created_at,text
951956038571368449,2018-01-12 23:16:20,RT @MarkYusko: Was fortunate invest w/ @dan_pantera when he launched @PanteraCapital in 2003 and again when he converted to focus solely on…
943070690881785858,2017-12-19 10:49:08,"PANTERA Bitcoin Fund returns 25,000% — featured on CNBC’s Squawk Box at 6:50 am EST.  @SquawkCNBC #bitcoin @PanteraCapital"
935937976156151809,2017-11-29 18:26:17,"RT @PanteraCapital: Dan Morehead on Fox Business:  ""Decades of experiments in cryptocurrencies were attempted.  Bitcoin's the first one to…"
935605279881822211,2017-11-28 20:24:16,@MariaBartiromo @MorningsMaria @FoxBusiness Yes.  We’re long both #BitcoinCash and #Bitcoin.  In the first innings… https://t.co/KHusqmrwCU
935587468392456192,2017-11-28 19:13:29,"RT @MariaBartiromo: Happening now: the first US bitcoin investment firm @dan_pantera @MorningsMaria @FoxBusiness fund up 12,000% since laun…"
926808740296237057,2017-11-04 13:49:57,RT @ErikVoorhees: The average Bitcoin transaction fee ($10.17) is now more than twice the cost of Bitcoin itself when I first learned of it…
926446067557773312,2017-11-03 13:48:49,"RT @PanteraCapital: NOW AVAILABLE: Our November #Blockchain Letter, VCs Missing 97% of the Trade - https://t.co/A4USo3u2qa https://t.co/ZiY…"
922594962948087809,2017-10-23 22:45:54,RT @money2020: Join leading #blockchain investors from @Kik @fenbushi @PanteraCapital &amp; @AngelList as they discuss #ICOs &amp; their potential…
916009618567864320,2017-10-05 18:38:06,"RT @Bitstamp: A GOOD READ @dan_pantera: #bitcoin is ""essentially going to revolutionize currency, or money."" https://t.co/DRjhTK6lXS  #bits…"
915612572803506177,2017-10-04 16:20:23,RT @PanteraCapital: @dan_pantera pitching crypto today @SohnConf!  Speaking at 4:45.  https://t.co/KD6rvqm4jd #Sohn2017
915062344635445248,2017-10-03 03:53:58,"RT @Ripple: Ever wanted to pick the brain of #Ripple CEO, @bgarlinghouse? Now's your chance! He's taking questions on @Quora https://t.co/T…"
913929081963520000,2017-09-30 00:50:47,"RT @Ripple: At $0.0003/transaction, #XRP is faster &amp; more affordable than #BTC - especially in emerging markets #xrpthestandard https://t.c…"
913775830408429570,2017-09-29 14:41:49,"RT @Snowden: Agree. Zcash's privacy tech makes it the most interesting Bitcoin alternative. Bitcoin is great, but ""if it's not private, it'…"
913568475779665920,2017-09-29 00:57:52,RT @JUN_Omise: Happy to announce ! We got strategic investment from MUFG subsidiary Bank of Ayudhya #Omise #OmiseGO https://t.co/uvb6XCaN21
911734885299183616,2017-09-23 23:31:50,RT @balajis: Fun interview with the WSJ this week. Hopefully this helps get a few more people into digital currency. https://t.co/f62YvLr183
911018280462163968,2017-09-22 00:04:18,"RT @marting: 10 years from now - it's 2027, we'll look back and say, how did the financial system not see all this coming?"
910687436983767040,2017-09-21 02:09:39,"RT @nic__carter: Absolute must-read this morning from a man who reviewed Bitcoin code in 2008.

https://t.co/Y7y9cWY6AR"
909977131643310081,2017-09-19 03:07:09,RT @TechCrunch: .@VitalikButerin explains Ethereum in his own words #TCDisrupt https://t.co/oFOuYfTNWg
909953865239347200,2017-09-19 01:34:42,RT @TechCrunch: Dan Morehead of Pantera Capital says ICOs are disrupting venture capital #TCDisrupt https://t.co/NT6bKkS9I6
