id,created_at,text
953307522756202502,2018-01-16 16:46:39,@belletobell @CARDIBDSM @RedloraineV @AlexisGirlNovak @uncletypewriter @Melt_Dem @neha Don't assume my ridiculousne… https://t.co/kt1cFhOS1W
953306497693437953,2018-01-16 16:42:35,"RT @_Kevin_Pham: ""Oracled Shitcoins, Blockchain Feminism, Vitalik centralization, and Crypto being nothing more than Nerd Fantasy Football.…"
953301883560644609,2018-01-16 16:24:15,"RT @zedverism211: Feminists keep asking why I'm ""making feminism about men."" https://t.co/VOwf4WOVw6"
953301840749359104,2018-01-16 16:24:04,RT @Trianglehead234: @derose @gamzooe @RedloraineV @AlexisGirlNovak @uncletypewriter You are something called a Feminazi
953299918701125634,2018-01-16 16:16:26,@josiahhehman Don't assume my ethnicity.
953299394803191810,2018-01-16 16:14:21,What is #Feminism? And the Sport of #Blockchain with Kevin Pham! https://t.co/M7NdDHiOVN @_Kevin_Pham
953295172082847745,2018-01-16 15:57:35,RT @Owl_IRL: @derose @RedloraineV @AlexisGirlNovak @uncletypewriter This guy is the whitest of White Knights.
953294162119593984,2018-01-16 15:53:34,@KissedByDeRose @CARDIBDSM @belletobell @RedloraineV @AlexisGirlNovak @uncletypewriter @Melt_Dem @neha I'm hard at… https://t.co/4UaXGDQniA
953293908108365824,2018-01-16 15:52:33,@Taco_Jones @belletobell @CARDIBDSM @RedloraineV @AlexisGirlNovak @uncletypewriter @Melt_Dem @neha A troll is merel… https://t.co/Hx5Cb2eyJp
953293558680817664,2018-01-16 15:51:10,"@mjaeckel @ticobas As feminists, we believe logic and reason is far less important than chasing out heretical witches."
953289427396284416,2018-01-16 15:34:45,RT @JavkTheArtist: Imagine being this fucking manipulated to the point where you're convinced that half the population should be caged just…
953288507912486912,2018-01-16 15:31:06,"RT @kokotheapechild: @derose @RedloraineV @AlexisGirlNovak @uncletypewriter Makes sense, you need a license to own a dog, go fishing, or se…"
953288455613804546,2018-01-16 15:30:53,"RT @bitcoinization: @derose @RedloraineV @AlexisGirlNovak @uncletypewriter It should be illegal to be a man, plain and simple!"
953288415407230976,2018-01-16 15:30:44,@vakeraj @NoahVeik @RedloraineV @AlexisGirlNovak @uncletypewriter I identify as the Commander and Chief of Blockcha… https://t.co/ni1Fq9YxbZ
953288216609771522,2018-01-16 15:29:56,@OfficialOksy @callitmeepmorp @JPriceDenoise @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter As a fem… https://t.co/pJILfwyku6
953284541451522048,2018-01-16 15:15:20,RT @vakeraj: @NoahVeik @derose @RedloraineV @AlexisGirlNovak @uncletypewriter Women will never truly be safe until all men are behind bars.
953284514029154304,2018-01-16 15:15:13,@PoupouEscobar @callitmeepmorp @JPriceDenoise @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter fake news
953284427429351424,2018-01-16 15:14:53,RT @z_spooner: @callitmeepmorp @JPriceDenoise @derose @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter We have Life Alert but…
953284306947989506,2018-01-16 15:14:24,"@ticobas @mjaeckel Then you're simply not a feminist. If you're not a feminist, you're a mysogynist. Obviously you… https://t.co/WLliO2dU65"
953283867129114629,2018-01-16 15:12:39,@madwilliamflint @RedloraineV @AlexisGirlNovak @uncletypewriter  https://t.co/2JykzPBble
953279039128723459,2018-01-16 14:53:28,@callitmeepmorp @JPriceDenoise @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter This is exactly what I… https://t.co/68jFSIQnwF
953278932257828865,2018-01-16 14:53:03,RT @callitmeepmorp: @JPriceDenoise @derose @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter that might be the dumbest thing i…
953278723498921984,2018-01-16 14:52:13,@callitmeepmorp @JPriceDenoise @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter Find us the black femi… https://t.co/I4A5yFTXGN
953278435232710656,2018-01-16 14:51:04,"@callitmeepmorp @JPriceDenoise @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter Again, that's why they need to be licensed."
953278321827221504,2018-01-16 14:50:37,RT @JavkTheArtist: @derose @callitmeepmorp @RedloraineV @AlexisGirlNovak @uncletypewriter Denial is the first stage of grief
953277109190971393,2018-01-16 14:45:48,@jessirosemurray Want to come on the show to discuss real feminism?
953276223039340544,2018-01-16 14:42:17,"@JavkTheArtist @callitmeepmorp @RedloraineV @AlexisGirlNovak @uncletypewriter Men evaluate ideas, women evaluate me… https://t.co/V8MQilDi4l"
953275914749702145,2018-01-16 14:41:03,@JavkTheArtist @callitmeepmorp @RedloraineV @AlexisGirlNovak @uncletypewriter Women don't rape. Any headline that s… https://t.co/Gf1Cd7LEe0
953275768108388353,2018-01-16 14:40:28,@callitmeepmorp @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter A troll is a slur for a white man who… https://t.co/Xj6bjUzpdf
953274011244486656,2018-01-16 14:33:29,@callitmeepmorp @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter All feminists are united around the belief that Men are pigs.
953273675062693888,2018-01-16 14:32:09,"@JavkTheArtist @callitmeepmorp @RedloraineV @AlexisGirlNovak @uncletypewriter Who decides the point of feminism, if… https://t.co/JHUHIN5Tx6"
953272312463265792,2018-01-16 14:26:44,@callitmeepmorp @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter This is exactly why a license should… https://t.co/EEKlVZQpQt
953272231928455168,2018-01-16 14:26:25,RT @callitmeepmorp: @derose @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter feminism is the belief that men can do better. me…
953272090668535811,2018-01-16 14:25:52,"RT @JavkTheArtist: @callitmeepmorp @derose @RedloraineV @AlexisGirlNovak @uncletypewriter No, it's that stripping the title of ""male"" from…"
953272007931686912,2018-01-16 14:25:32,@_AyeKyle_ Don't assume my ethnicity. :) https://t.co/TGbd5LkB15
953271860732616704,2018-01-16 14:24:57,RT @yakeyetersen: lmao check out this fuckin guy https://t.co/vOoqnLhV9l
953271639164276739,2018-01-16 14:24:04,@madwilliamflint @RedloraineV @AlexisGirlNovak @uncletypewriter Don't assume my orientation.
953271591659540485,2018-01-16 14:23:53,"@_tuhj As a feminist, I believe anyone who disagrees with me is a rapist."
953271532331110400,2018-01-16 14:23:38,RT @_tuhj: Asshole of the day award 🥇 https://t.co/uO6XnY39qE
953271451838308352,2018-01-16 14:23:19,"@callitmeepmorp @JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter As a feminist, I believe man and rapi… https://t.co/Zaxfm6Eb8b"
953268819748892672,2018-01-16 14:12:52,@CARDIBDSM @belletobell @RedloraineV @AlexisGirlNovak @uncletypewriter @Melt_Dem @neha I probably have more women I… https://t.co/S96rZY8dg5
953268696222494720,2018-01-16 14:12:22,@CARDIBDSM @belletobell @RedloraineV @AlexisGirlNovak @uncletypewriter @Melt_Dem @neha Don't assume my gender.
953264441184878597,2018-01-16 13:55:28,@DamienFerguson7 I am. This is the token women wanted. All Feminists should max out their credit lines and bet the farm on this product.
953264271030398977,2018-01-16 13:54:47,RT @DamienFerguson7: @derose as you're quite focused around gender etc...maybe this ico is of interest https://t.co/WO18Ce3K5k
953263907367419904,2018-01-16 13:53:20,"@blackmon2_ @blockchain4men @_Kevin_Pham @mikeinspace If a woman wants to come, she can always present as male."
953263778690412545,2018-01-16 13:52:50,RT @RealAGluck: @pennyesh14 @derose @ThyPirateDave @RedloraineV @AlexisGirlNovak @uncletypewriter No response there because it doesn’t fit…
953263754535428096,2018-01-16 13:52:44,"RT @RealAGluck: @derose @JizzOmelette @RedloraineV @AlexisGirlNovak @uncletypewriter Also that’s not what feminism is about, for female fem…"
953263693781000193,2018-01-16 13:52:30,@gamzooe @RedloraineV @AlexisGirlNovak @uncletypewriter Who decides what Feminism is?
953263574620745729,2018-01-16 13:52:01,@RyanStorey14 @RedloraineV @AlexisGirlNovak @uncletypewriter A troll is a slur for a white man who's winning.
953263496979996672,2018-01-16 13:51:43,"@JavkTheArtist @RedloraineV @AlexisGirlNovak @uncletypewriter Well, it would remove us of toxic masculinity of course. No one wants that."
953263275692707841,2018-01-16 13:50:50,RT @RealKeithNolan: And yes we have reached a whole new level of stupidity why not instead of a licence we tattoo numbers on their hands co…
953245436873146368,2018-01-16 12:39:57,RT @NoahVeik: @derose @RedloraineV @AlexisGirlNovak @uncletypewriter This is literally the stupidest tweet I have ever read lmao holy shit.…
953245229771042816,2018-01-16 12:39:07,@GodUhWar @JizzOmelette @RedloraineV @AlexisGirlNovak @uncletypewriter A troll is a white man whose success we resent. :)
953245028360577024,2018-01-16 12:38:19,@gamzooe @ariaflame @RedloraineV @AlexisGirlNovak @uncletypewriter Motivations Unclear.
953104064065298432,2018-01-16 03:18:11,@pepepavelski Mysogyny is everywhere. Stop the hate bro.
953087830607187969,2018-01-16 02:13:40,@MaymayAndMe Very. A troll is a slur for a white man whose success you resent. I make no apologies for that.
953084534073028608,2018-01-16 02:00:35,@FelixWeis @oldhayeasplay @MrHodl @coinsalacarte @CalvinAyre @DanDarkPill What is Feminism?
953084478624288773,2018-01-16 02:00:21,RT @l0bbelt: @derose @jordanbpeterson This would be great - Dr. Peterson &amp; Chris DeRose would make for some premium content.
953084384135008256,2018-01-16 01:59:59,"@MaymayAndMe As a feminist, the objectification of women is our goal. Women should be evaluated not by their merit,… https://t.co/spHz7jJGHY"
953040595282485248,2018-01-15 23:05:59,"@jordanbpeterson Jordan - I don't you know what's going on in blockchain. tldr: faith is being engineered , social… https://t.co/74rxiy5J6g"
953040293816913921,2018-01-15 23:04:47,"RT @mikeinspace: @jordanbpeterson Jordan, you should consider going on @derose's show to discuss Blockchain technology. He brings a skeptic…"
953039764264968192,2018-01-15 23:02:41,@alanajoy @delbius @internet - This is called the Streisand effect. You know what to do. :)
952988980018077696,2018-01-15 19:40:53,RT @mikeinspace: @derose @WeathermanIam @jaybny @DanielKrawisz @BNBMC @adam3us @rogerkver  https://t.co/gGz15l19jc
952988889584668677,2018-01-15 19:40:31,@belletobell @RedloraineV @AlexisGirlNovak @uncletypewriter @Melt_Dem @neha I do. As Feminists It's important that… https://t.co/Jjmkv5UwQX
952987458442055681,2018-01-15 19:34:50,@jaybny @DanielKrawisz @WeathermanIam @BNBMC @adam3us @rogerkver What is your metric for a successful blockchain?
952987333502087168,2018-01-15 19:34:20,@coinsalacarte @MrHodl @oldhayeasplay @CalvinAyre @DanDarkPill Sure is. It's fair game. He just wants a high score.… https://t.co/00oTzdQTv0
952987148529078274,2018-01-15 19:33:36,@infomanc3r @CryptoKitKat @coinsalacarte @CalvinAyre @DanDarkPill @MrHodl  https://t.co/rnfohGQThm
952987022473428993,2018-01-15 19:33:06,"@WeathermanIam @jaybny @DanielKrawisz @BNBMC @adam3us @rogerkver Unless you lived in the 1800s American South bub,… https://t.co/hj97l2hBr4"
952986541797896192,2018-01-15 19:31:11,RT @dammitbreezus: @derose @belletobell @RedloraineV @AlexisGirlNovak @uncletypewriter Ma Kween https://t.co/r8DpoUeUlW
952986308514865153,2018-01-15 19:30:16,@uncletypewriter @CristianFerrar3 @RedloraineV @AlexisGirlNovak Sure.
952986178088853509,2018-01-15 19:29:45,@belletobell @RedloraineV @AlexisGirlNovak @uncletypewriter @Melt_Dem @neha Let me know when you're ready to learn… https://t.co/ROMTogf6mP
952985617616523264,2018-01-15 19:27:31,"@notsofast @wobbbbble @cryptoMJ23 @coinyeezy Once you recognize the phenomenon, you can proceed to instill the illu… https://t.co/q3JGQ4jLpj"
952985009920593921,2018-01-15 19:25:06,@jaybny @DanielKrawisz @WeathermanIam @BNBMC @adam3us @rogerkver Morality is a social construct. Blockchain is a pr… https://t.co/Uzl1hPLmHh
952984397690662912,2018-01-15 19:22:40,@cryptocampos @MrHodl @coinsalacarte @oldhayeasplay @CalvinAyre @DanDarkPill hahahahah
952984230862249984,2018-01-15 19:22:00,@ratelmoney @WeathermanIam @DanielKrawisz @ChrisGilliard @jaybny @BNBMC @adam3us @rogerkver @tipprbot  https://t.co/177UuvJqkk
952984152034414592,2018-01-15 19:21:42,@CristianFerrar3 @RedloraineV @AlexisGirlNovak @uncletypewriter Baiting what - men? yes. They're so stupid as to ha… https://t.co/oR6oPJviHf
952983768108883969,2018-01-15 19:20:10,@JizzOmelette @RedloraineV @AlexisGirlNovak @uncletypewriter You're clearly a man. Only a man would be so reasonabl… https://t.co/wsPDV5l0Wj
952983289274490880,2018-01-15 19:18:16,"@kthome219 @PrisonPlanet As a feminist, I believe women should (at least) receive equal outcome in society. 50% of… https://t.co/KiOwKOXAWI"
952982427059793921,2018-01-15 19:14:50,"@belletobell @RedloraineV @AlexisGirlNovak @uncletypewriter Wow, a woman who is not a feminist? Men - pay attention, this is the new queen!"
952982217340411904,2018-01-15 19:14:00,"@jaybny @DanielKrawisz @WeathermanIam @BNBMC @adam3us @rogerkver It's an economic innovation, IMO."
952981681820008449,2018-01-15 19:11:53,@HenryHaller @PrisonPlanet That's something a toxic masculine man would say :)
952981545278738432,2018-01-15 19:11:20,RT @DanielKrawisz: @WeathermanIam @ChrisGilliard @derose @jaybny @BNBMC @adam3us @rogerkver I hereby promote you by the power vested in me…
