id,created_at,text
953298615283437569,2018-01-16 16:11:15,RT @techjunkiejh: Node.js Foundation welcomes Google as Platinum Member https://t.co/GdfIE07DAN #NodeJS #javascript https://t.co/2xDggBYKH8
953274370146947072,2018-01-16 14:34:55,"The Next Tsunami #AI #Blockchain #IOT and Our Swarm Evolutionary #Singularity 
by @dinisguarda #ai #bigdata… https://t.co/oBIH3HFqqR"
953271470079258624,2018-01-16 14:23:24,"A #Financial #Tech #Tsunami Driven by #Blockchain #AI #Crypto Economics 
by @dinisguarda #ai #bitcoin… https://t.co/TQRriq78UL"
953263524800802816,2018-01-16 13:51:49,RT @brandimage: What will #PrivateBrands look like 10 years from now? Our Don Childs offers his predictions here: https://t.co/4BTejr1lqQ v…
953250298415501312,2018-01-16 12:59:16,RT @debraruh: Education 2030: Funding sustainable lifelong learning systems in Francophone countries https://t.co/bLAg83S4wx via unesco
953248512023646208,2018-01-16 12:52:10,The latest The dinis guarda  Daily! https://t.co/9iQE1p48lO Thanks to @ExecCareerCoach @DerrickRBickley #fintech #bigdata
953225640815316994,2018-01-16 11:21:17,Appreciate your recent retweets @REALELIJAHMARKS @itknowingness @debashis_dutta! Have a great Thursday :)
953216247218483200,2018-01-16 10:43:57,"@FintechChinaW @tonyrhem @DPiraldo, thanks for recent engagements in the last week, happy to have you in my communi… https://t.co/5B5UOSIZhA"
953202151085535233,2018-01-16 09:47:57,RT @intelligentHQ: How ‘Smart Contracts’ Shape Ethereum’s Currency https://t.co/RCGU1prpiz #IntelligentHQ
953202133201051648,2018-01-16 09:47:52,RT @GrandoMarketing: Talking Legal Tender &amp; #Blockchain Fiat Currencies With @DerinCag via @IntelligentHQ https://t.co/CPGCeMZvj1
953202085968994305,2018-01-16 09:47:41,"RT @AccessAiNews: @intelligentHQ Why is #BigBusiness slow on AI? 3 answers
https://t.co/fO7afiyMD8 https://t.co/Jiz1rLMPvp"
953202063093174272,2018-01-16 09:47:36,RT @Lammikko: Building Blocks Of A #CircularEconomy https://t.co/fJvLUxWaRb via @intelligenthq #principles
953202039873589249,2018-01-16 09:47:30,RT @intelligentHQ: Why Self Regulation is Necessary to Fight Cryptocurrency Insider Trading https://t.co/s2YzDv3Ns6 #IntelligentHQ
953202022139990016,2018-01-16 09:47:26,RT @intelligentHQ: Carillion’s Liquidation To Trigger Alarm Bells For UK Pension Savers https://t.co/jmy0Onj6jE #HedgeThink
953201953043111936,2018-01-16 09:47:09,RT @intelligentHQ: Coinsilium increases its shareholding in Indorse to 6.5% https://t.co/Jfd0uoSTD7 #HedgeThink
953201924400144385,2018-01-16 09:47:03,RT @mariafonseca71: Positive Platforms For A Better #SharingEconomy @intelligentHQ https://t.co/WGLjfCRqIF
953201896596099072,2018-01-16 09:46:56,RT @intelligentHQ: Can Central Banks Use Cryptocurrency to Increase their Foreign Reserves?    https://t.co/m8h3qxZHv9 #IntelligentHQ
953201853336031232,2018-01-16 09:46:46,RT @tkurczyk: Talking Legal Tender &amp; #Blockchain Fiat Currencies With @DerinCag via @IntelligentHQ https://t.co/zkPHngZjfX
953201838588858368,2018-01-16 09:46:42,"RT @K4Kats: A Legal Framework to Prevent Fraud, Speculation &amp; Misrepresentation in Crypto Doesn't Exist. New Regs Should Focus on Accountab…"
953201778585227265,2018-01-16 09:46:28,RT @mariafonseca71: Creating Value Through Conscious Capitalism https://t.co/SIK1gY5mFx via @intelligenthq
953201700021657600,2018-01-16 09:46:09,RT @jonnyfry175: https://t.co/3Bcs0MGRzZ Oppertunity to hear about #ICO regulation why PLCs are now doing ICOs review of 2017 a look at wha…
953201601405243392,2018-01-16 09:45:46,RT @seandotau: Do you feel like this? @thomaspower @Stevewal63 @jonnyfry175 @NickAyton @dinisguarda @AntonioSelas @BourseetTrading @rosspow…
953201505070403584,2018-01-16 09:45:23,RT @ahier: AI listens in on emergency calls to diagnose heart attacks https://t.co/s4QK4mShiB in @newscientist https://t.co/NKcTbbKXLo
953201466554175488,2018-01-16 09:45:13,"RT @dinisguarda: #Kodak CEO: #Blockchain Significant, Though Not a Doubling in Stock Price https://t.co/LzeQ59BKyQ"
953201450049507329,2018-01-16 09:45:09,RT @NickAyton: Nice slide! Thx for sharing @Chainstarter1 @ObeAyton @Real21Million @dinisguarda @kuriharan @BourseetTrading @seandotau @Ste…
953201427693916160,2018-01-16 09:45:04,RT @kuriharan: 2017’s #ICO Market Grew Nearly 100x From Q1 To Q4 - @Crunchbase News https://t.co/agnJkKt9FR #tech #digital #data #blockchai…
953201392633729024,2018-01-16 09:44:56,RT @jonnyfry175: https://t.co/IzHURiBLar Wow Utility #Tokens to ZERO  not sure about that but then struggle to understand price of many #Cr…
953201300874948608,2018-01-16 09:44:34,RT @FreddieMBennett: @MirelaXhota @MikeQuindazzi @TheMisterFavor @SpirosMargaris @StrategyFintech @pierrepinna @BrettKing @Socialfave @JimM…
953201261826007040,2018-01-16 09:44:25,RT @dinisguarda: Fantastic article about the myth about one #Blockchain and the different developments in DLT tech and perceptions (or lack…
953201236408504321,2018-01-16 09:44:19,"RT @MirelaXhota: The Most Valuable Fintech Companies, in One Chart

https://t.co/NfKlmuRxVK

#Banking #fintech #martech #payments 

@Fisher…"
953201220356923392,2018-01-16 09:44:15,RT @seandotau: “US Treasury Secretary #Munchin Likens #Bitcoin to Offshore Swiss Bank Account” https://t.co/6vHb0x2Fpl He would know? @thom…
953201196583485440,2018-01-16 09:44:09,RT @HarbRimah: The Internet of Things: 50 Billion Connected Devices by 2025. #IOT  #BigData #TechTrends #Socialfave #MachineLearning #IIoT…
953201160307068928,2018-01-16 09:44:00,"RT @dinisguarda: Geniuses aren't born, they're made — and 3 of their daily habits can make you smarter

 https://t.co/Jiml8h1Zgj https://t.…"
953201141180981248,2018-01-16 09:43:56,"RT @dinisguarda: The #crypto #bitcon and #Blockchain take over:
How #Coinbase could disrupt traditional brokerages and dominate the #invest…"
953201064676941824,2018-01-16 09:43:38,RT @akwyz: @numpty_moan @oppressedmail @LurdesPeixoto @wayotworld @Lmalopes @dinisguarda @Skerla2 @innoFPinheiro @debraruh @eqingriddd @Gra…
953200966718967808,2018-01-16 09:43:14,RT @dinisguarda: #Bitcoin investors struggle to cash out new fortunes https://t.co/YOpSXlui3i
953200940500377600,2018-01-16 09:43:08,"RT @Javiercn8: Check these 7 boxes #startups 
Great tips @larrykim (#infographic 1) #fintech #Insurtech #4IR
Cc @sandy_carter @GrowUrStartu…"
953200919549751296,2018-01-16 09:43:03,RT @dinisguarda: Creating Value Through Conscious #Capitalism https://t.co/fGXyKrqqii via @intelligenthq #socialimpact
953200877178847233,2018-01-16 09:42:53,RT @jonnyfry175: https://t.co/DfyqFjte2x @dinisguarda How long between see more regulated #Crypto exchanges being announced.....
953200846417924096,2018-01-16 09:42:46,RT @jonnyfry175: https://t.co/KEgxdKdO25 #AI #Machine learning with Human intervention ...Interesting and from your homeland @dinisguarda h…
953200808174211072,2018-01-16 09:42:36,RT @DanielBurrus: @K4Kats @dinisguarda @REALELIJAHMARKS @KateNasser Happy Friday!  🙌🏼 BTW Have you heard about my new book giveaway?! https…
953200786451894272,2018-01-16 09:42:31,RT @dinisguarda: Learn How to Capture Anyone's Attention With These 5 Tips From Famous Motivational Speakers https://t.co/6c8gNHJ9K3
953200754080321536,2018-01-16 09:42:24,"RT @AccessAiNews: @dinisguarda Measuring up: robotic #ProcessAutomation versus real-time decision-making
https://t.co/QQkeK2z4GE https://t.…"
953200721037578240,2018-01-16 09:42:16,RT @NickAyton: This exactly why some #ICOs don't work as they cannot use the features of #Blockchain https://t.co/l0PdjAj3Xm @Chainstarter1…
