id,created_at,text
951882979604869120,2018-01-12 18:26:02,RT @EntMagazineME: #US based #blockchain venture studio @ConsenSys opens a #Dubai office at @d3Dubai today-- the company’s second largest o…
950779054797590531,2018-01-09 17:19:25,RT @VariabL_io: A state of the art of financial #regulations on Blockchain markets by @ClairePion - Legal @VariabL https://t.co/vbmUuGZIVK
950402683260764160,2018-01-08 16:23:51,"RT @ConsenSys: ""The world-at-large is realizing that we are slowly upon the next generation of the world wide web."" - @ConsenSysAndrew 

ht…"
948688798459809798,2018-01-03 22:53:29,RT @ConsenSysAndrew: @ethereumproject doing more transactions than all other blockchains combined. https://t.co/sRiVCxhMFf
948637395028758528,2018-01-03 19:29:14,The Viant team and @MulvihillTyler are transforming supply chains and working to preserve the integrity of the food… https://t.co/ry1zzHBXfn
948206323975499777,2018-01-02 14:56:19,@coindesk @DelRayMan @ConsenSys And a special thanks to @helloluis for making me feel like the Clint Eastwood of th… https://t.co/chtybUwXrb
948202543762599936,2018-01-02 14:41:17,"Honored to be included, thanks @Coindesk and @DelRayMan. What a beautiful roller coaster 2017 was. But the credit g… https://t.co/0PLuiQ1mJI"
947512381139243009,2017-12-31 16:58:50,"RT @karl_dot_tech: Alpha Casper Testnet 🌈 🦄

https://t.co/PryirBi5iv

Happy New Year Everyone!!"
947134358950940673,2017-12-30 15:56:42,"RT @EthereumDenver: Co-founder of @ethereumproject and founder of @ConsenSys, @ethereumJoseph, will be having an #AMA chat in our #EthDenve…"
946799265195679744,2017-12-29 17:45:10,"RT @raisinadialogue: Speaking at #Raisina2018 | Founder, @ConsenSys, Joseph Lubin, @ethereumjoseph. Register: https://t.co/UomXAeuLI7 https…"
946060603357126656,2017-12-27 16:49:59,Huge shoutout to the people who spend their time helping to inform the community about development updates. If you… https://t.co/6s8pB90rt0
945713802980577280,2017-12-26 17:51:55,RT @ConsenSys: Viant: A more sustainable and humanitarian way to move goods across the globe. https://t.co/g4CCB7baGs @MulvihillTyler #ethe…
945341065946595330,2017-12-25 17:10:48,A very happy holidays from everyone at @ConsenSys to you and yours ⬜️⛓🌲🎁🎅❤️ https://t.co/oMnkNVYo1y
944981341686386689,2017-12-24 17:21:23,"Developers, decentralization, and dApps on @YahooFinance last week. Delightful dialogue with @JennSaidIt, always th… https://t.co/irb7VK8bvT"
943898576652029952,2017-12-21 17:38:52,"RT @ConsenSys: Inviting all interested parties to join the conversation in building a blockchain future that works for everyone...

#blockc…"
943522699510509568,2017-12-20 16:45:16,Great conversation about the intersection of #blockchain and artificial intelligence last night at @NYAIMeetup host… https://t.co/JuKzzyFavz
942819691445342214,2017-12-18 18:11:45,"""When People Talk About Bitcoin's Crazy Climb, They're Missing Half The Story"". @amandagutterman tells that other h… https://t.co/cPLZQf4oHR"
942793270467485697,2017-12-18 16:26:46,"RT @EntMagazineME: Very few nations around the world are moving their infrastructure from conventional to #digital mediums, and #UAE is one…"
942082935783657472,2017-12-16 17:24:09,"#Bitcoin = A single app. #Ethereum = An entire app store. Thanks for having me on @BloombergTV, always a pleasure. https://t.co/LXKX8cF8BR"
941674970060640256,2017-12-15 14:23:02,@ConsenSys will now be building decentralized applications on the ChiengCoin blockchain! Jk jk. Big thanks to… https://t.co/qZeGH8aB7L
941415029424959490,2017-12-14 21:10:08,"RT @thebridgebk: Been hearing a lot about Bitcoin lately? You can get the bigger picture from our podcast with Joseph Lubin, founder of #Br…"
940642756833218561,2017-12-12 18:01:24,"Reinventing the wheel, one @ConsenSys spoke at a time. Thanks to @DistLedger for helping spread the decentralizatio… https://t.co/1yLkvsyowx"
939221667729027075,2017-12-08 19:54:30,ConsenSys London firing on all cylinders https://t.co/8Vcx4ZHODx
938773827575799809,2017-12-07 14:14:56,"RT @cheddar: Ethereum co-founder @ethereumJoseph discusses the difference between bitcoin and ethereum: ""Bitcoin is like a money system, et…"
938531512747741185,2017-12-06 22:12:04,"RT @rogdev: I'm participating in the @airswap beta. Looking good! 
#airswap #beta #dex #cryptocurrency $AST $ETH https://t.co/nEMeldAyBo"
938451330812825600,2017-12-06 16:53:27,RT @ConsenSys: What's in store for #bitcoin #ether and other cryptocurrencies? Hear from @ethereumJoseph on @SquawkStreet this morning on @…
