id,created_at,text
951595586448486400,2018-01-11 23:24:02,Whitepaper on zkStark https://t.co/onF0AswtQD
938883103619211265,2017-12-07 21:29:10,"@jeffehh Sad, I was GavCoin HODLer"
924472289785188353,2017-10-29 03:05:44,@OrchidProtocol 1)dependency on ethererum/light client=less censor proof 2)topology eventually becomes centralized.… https://t.co/QXQJbiptub
923572761393549313,2017-10-26 15:31:20,Startup @orchidprotocol is building incentivized Tor/decentralized VPN. Great for Internet. Very important work! https://t.co/5xdMQmoXec
919951103135010822,2017-10-16 15:40:09,"KRACK breaks WPA2 - srs attack, affects clients on WIFI networks. Via all-0 encrypt key/sslstrip, get login info. https://t.co/P6l0ip8WhW"
915612646338174978,2017-10-04 16:20:40,Cooley/ProtoLabs hacked this SAFT paper together. Mission: legalize token sales &amp; ICOs + follow US security laws https://t.co/SRWJwUBjGM
909819968413462529,2017-09-18 16:42:38,PassGAN: AI password cracker - 1 neuronet invents passwords + another judges - 2x more efficient than JTR’s rules. https://t.co/B6ohTamn55
908003230688448512,2017-09-13 16:23:34,"Zcash protocol upgrade “Sapling” - Proof time ~7s, memory usage &lt;30MB from 3GB, possible w/ phones? Github: jubjub https://t.co/1mXbg82o4H"
900068952109445120,2017-08-22 18:55:35,"Estcoin: 1st gov backed token. From eVote to 5-min tax to early STEM, Estonia = epitome of innovations in government https://t.co/Rjdtzh8w7S"
889897065479892994,2017-07-25 17:16:08,“This Is How Your Fear and Outrage Are Being Sold for Profit” by @TobiasRose https://t.co/8EIE1uAcUw
879363989351919617,2017-06-26 15:41:27,"How HBO’s Silicon Valley built “Not Hotdog” with mobile TensorFlow, Keras &amp; React Native: 1 developer+macbook+gpu https://t.co/Ia8X3JSAkL"
876545270682718217,2017-06-18 21:00:52,"For those who are confused about ""blockchain"".. what it means, where/when/how to use it: https://t.co/AdUfUSbOsz"
874717774630834177,2017-06-13 19:59:03,"With deep learning, how important is it to understand the reasoning behind decisions made by AI? https://t.co/pxpC808WLu"
869988166442393600,2017-05-31 18:45:17,Check out the projects of the 2017 AI grant fellows: https://t.co/mEn7fWZHfg
864934603588587520,2017-05-17 20:04:13,I just published “On Fundraising” https://t.co/0wwoX5h4f0
856876042530828288,2017-04-25 14:22:23,On Growing: 7 Lessons from the Story of WeChat via YC https://t.co/WvRt4hG2B5
853292285034995712,2017-04-15 17:01:48,"ShadowBrokers: The NSA compromised the SWIFT Service Bureaus (EastNet &amp; BCG, possibly a lot more) https://t.co/xrq7q5TNvG"
851829507472470017,2017-04-11 16:09:15,Can “Digital Therapeutics” Be as Good as Drugs? https://t.co/EkMwjNDXc1
841321200995434496,2017-03-13 16:12:59,On Angel Investing https://t.co/5LaXPiTBCv
839126313214562305,2017-03-07 14:51:17,"First 3D printed residential tiny house in Russia, costs $10k, finished on-site in 24 hours! https://t.co/DaT7dWx5Hg"
832310079953186816,2017-02-16 19:26:01,Gates Foundation’s 2017 annual letter on what they’ve achieved in the past decade. https://t.co/uwBj87AYug
