id,created_at,text
953287211386011648,2018-01-16 15:25:57,"a Special Session on Degrowth and Digitalisation at the STS Conference Graz 2018.
submit your abstract to:… https://t.co/Ov2qmbLAoZ"
953260842967011328,2018-01-16 13:41:10,@JenniferSertl @leashless @artbrock fully agree and was actually thinking we should do a Regen 100!
953260734967959552,2018-01-16 13:40:44,RT @JenniferSertl: Harvard Study Shows Why Big Telecom Is Terrified of Community-Run Broadband… https://t.co/nvrVsMBJct
953260627522392064,2018-01-16 13:40:18,RT @JenniferSertl: Crypto100 - The 100 Most Influential People In Crypto https://t.co/95OKMjoVnG important to see m… https://t.co/R2AbTY3f7u
953222840702160897,2018-01-16 11:10:09,Cosmo-localization: can thinking globally and producing locally really save our planet? https://t.co/tDj49MTN6P
953190325362790400,2018-01-16 09:00:57,Frank Pasquale on the Shift from Territorial to Functional Sovereignty https://t.co/68FhWeuVze https://t.co/zd49cHqelz
953182901662863360,2018-01-16 08:31:27,Social Ecology: Communalism against Climate Chaos https://t.co/Zb2rpMZ39I https://t.co/NhdDuuPbEm
953176193079095297,2018-01-16 08:04:48,"Reimagine, don’t seize, the means of production https://t.co/MpT5boft8w https://t.co/aA5nWLzGDu"
953175147762143232,2018-01-16 08:00:39,Good news – SEYN – Sustainable Energy Youth Network https://t.co/A032SlD1er
953174866966011904,2018-01-16 07:59:32,Will America Choose King’s Dream or Trump’s Nightmare? https://t.co/ZCVHuHauYi
953162744555065344,2018-01-16 07:11:21,"Blair Evans on the Synergy between Permaculture, Digital Fabrication and Autonomous Production by Disadvantaged Com… https://t.co/tsCOnMcgGC"
953159321130602497,2018-01-16 06:57:45,Using the Reservoir of Citizen Capacity for Strenghtening Social Welfare in Barnsley - P2P Foundation… https://t.co/mPJTy5DVw2
953149621752287233,2018-01-16 06:19:13,"Commoncoin
= experimental project for the use of a generative cryptocurrency in a cultural center in Milan
URL = https://t.co/9xzSfyvRzE"
953149393892446213,2018-01-16 06:18:18,Macao and the Struggle for Cultural Commons in Milan - P2P Foundation https://t.co/OHvk34vYQh
953130967627165697,2018-01-16 05:05:05,2018 conferences left of “mildly critical of capitalism” - HackMD https://t.co/CPyHWuffqH
953125280650072064,2018-01-16 04:42:29,RT @AlterUK21: No longer in thrall to the mainstream #mediaframing. This weeks editorial on how to get #BIGPICTURE… https://t.co/uN5iZV8Kew
953124964160409606,2018-01-16 04:41:14,@datisdaz you can reach me via michelsub2004 at gmail! hear from you soon!
953124022430126080,2018-01-16 04:37:29,"RT @WeeklyCrypto: Meet The 100 Most Influential People in Crypto

https://t.co/95OKMjoVnG

Featuring @Kris_HK,… https://t.co/srMAvi05fy"
953123802451496961,2018-01-16 04:36:37,RT @lucyparsons4ev: Martin Luther King’s Radical Anti-Capitalism #MLKDay2018 #neweconomy  https://t.co/PagTRyWKo0
953123678438408192,2018-01-16 04:36:07,RT @JoseLViveroPol: Doing field work in Myanmar. I am so glad to be back to food security activities. This time on urban food systems and c…
953123587270918145,2018-01-16 04:35:46,RT @JoseLViveroPol: Learning a lot from Civic Food Networks in Yangon. People gather in street stalls to socialize. Sharing food with neigh…
953123427237400576,2018-01-16 04:35:07,Keeping the Poor Poor: How Government Automates Inequality - https://t.co/4rqcuHdHKk https://t.co/vzRRFF702o
953121303120220160,2018-01-16 04:26:41,South Korea to Cooperate with China and Japan in Regulating Cryptocurrencies – CoinSpeaker https://t.co/L7u7vn4kYu
953080647542890496,2018-01-16 01:45:08,"New Economy Networks - n https://t.co/4IIKRcAZmX ;
= ""Self-organizing, opt-in, and blockchain-based networks of bus… https://t.co/UBovqt3aBr"
953071837411528705,2018-01-16 01:10:07,Right Seeds - IASC THEMATIC WORKSHOP: CONCEPTUALIZING THE NEW COMMONS: THE EXAMPLES OF KNOWLEDGE COMMONS &amp; SEED AND… https://t.co/ook0q3yDbd
952957934215905280,2018-01-15 17:37:31,"RT @theintercept: The Dakota Access pipeline has leaked at least five times in 2017. Its sister project, Energy Transfer Crude Oil pipeline…"
952906463869067264,2018-01-15 14:12:59,Optimising the self (and reimagining power) at Somerset House Studios — THE ALTERNATIVE UK https://t.co/dajlRGf6K3
952906064940490752,2018-01-15 14:11:24,Heading upstream: Barnsley's quiet revolution that lets communities take power — THE ALTERNATIVE UK… https://t.co/a2O18z0RR0
952883964967923713,2018-01-15 12:43:35,"@iauidf : pour info, plan de transition vers la 'ville en commun', Gand, Belgique: https://t.co/axmFx8jVLn"
952883522586402816,2018-01-15 12:41:50,"RT @iauidf: [Interview] ""Du fablab à la fab city""
Thomas Diez, urbaniste et cofondateur du Fablab Barcelona (@fablabbcn), nous explique com…"
952883386980491264,2018-01-15 12:41:17,"@mrbarnabyb thanks, and good luck!"
952883117869723650,2018-01-15 12:40:13,"RT @RegisUrsini:  Objectifs du FabLab public de Barcelone,  produire de la valeur pour tous en identifiant les flux… https://t.co/nk7w1wNnjN"
952883007995736064,2018-01-15 12:39:47,RT @AlterUK21: No longer in thrall to the mainstream #mediaframing. This weeks editorial on how to get #BIGPICTURE… https://t.co/vPKTHRznlb
952865636526514177,2018-01-15 11:30:45,"Right Seeds - P2P Foundation https://t.co/AYUQB2jO8I ; ""The IASC Research Group RightSeeds explores commons-based a… https://t.co/YRp4ys91nb"
952857973105229825,2018-01-15 11:00:18,important innovation regarding the fusion of collaterized local complementary currencies with mutual credit a la Sa… https://t.co/HU78T8goAu
952847914598100992,2018-01-15 10:20:20,"Bientôt des ""entreprises à mission"" en France ? https://t.co/R4HQzGagaO"
952841534893887488,2018-01-15 09:54:59,Cities making money by going 100% Renewables – SEYN – Sustainable Energy Youth Network https://t.co/8HaPt5l5tU
952815150045843457,2018-01-15 08:10:08,"RT @mbauwens: excellent and amazing french-language report on local food transitions in the flanders, liege, basque… https://t.co/ZYbFdKKM6e"
952813177523224577,2018-01-15 08:02:18,To Catch the Rain https://t.co/nL2NrKpSTS https://t.co/rXmJUeFbo9
952811441429630981,2018-01-15 07:55:24,justsoho:  a social collaboration tool with a multi-currency system for joined value creation and accounting. Diffe… https://t.co/NHtqrf09oL
952786288649949184,2018-01-15 06:15:27,"Six Capitals, or Can Accountants Save the Planet?: Rethinking Capitalism for the Twenty-First Century |… https://t.co/eu9V5FsN1T"
952777550706696192,2018-01-15 05:40:44,Raising the Bar - Advancing Environmental Disclosure in Sustainability Reporting https://t.co/gQAIcntdxQ
952776697060962304,2018-01-15 05:37:20,"New Economy Networks, vehicles for multicapitalism ? - P2P Foundation https://t.co/goX5PZV7yW ; 
= ""Self-organizing… https://t.co/dsVSUrqDvA"
952771902996713472,2018-01-15 05:18:17,"@mrbarnabyb ""where"" would you go ?"
952771772729954306,2018-01-15 05:17:46,RT @stevejennings1: 10 years ago today this prophetic article by Tom Hodgkinson about @facebook was published in… https://t.co/3tMvHeoyz0
952771667352276992,2018-01-15 05:17:21,@henkhadders and thanks for the extra resources!
952771559059574784,2018-01-15 05:16:55,"RT @henkhadders: On TNKM more info can be found here https://t.co/eOUb0vLJzH, on Reinventing Democracy… https://t.co/KLZwJ2zicg"
952771362334134272,2018-01-15 05:16:09,"RT @dilgreen: Looking forward to serious and collaborative dreaming, envisioning, analysing, mapping and building t… https://t.co/MvC1uwnr0m"
952771262627106818,2018-01-15 05:15:45,@JenniferSertl @stevejennings1 @facebook @guardian @dsearls @johnbattelle @profgalloway @katrynadow @InnovKate… https://t.co/aTajGJRRpF
952771099858743296,2018-01-15 05:15:06,SHARERS &amp; WORKERS – Economie Collaborative et travail https://t.co/zzOL1nReFm
952769968025694213,2018-01-15 05:10:36,RT @JoseLViveroPol: More than 800 people have already visited my PhD document in @ResearchGate It contains five peer-reviewed articles + in…
952769884789895168,2018-01-15 05:10:16,@Tart2000 @mrbarnabyb @ParticipatoryC thanks!
952725800306053120,2018-01-15 02:15:06,RT @ehooge: Co-ops have a key part to play if the world is to move to a “human economy” https://t.co/qj9F5G32WU HT mbauwens
952709447486451713,2018-01-15 01:10:07,"""How can we enable  the formation of Global Cooperative Networks within the existing Global Adversarial Network? Ho… https://t.co/GJICLkp5Qr"
952579203198865413,2018-01-14 16:32:34,"RT @henkhadders: My dream is a New #Knowledge Management in place within Reinventing #Democracy, while using #MMT a… https://t.co/KQrQC6V3jV"
952579090023788544,2018-01-14 16:32:07,"@Stijnlei the author of the article doubts it, but I can see it functioning like that in the future"
952578893373992961,2018-01-14 16:31:20,"@mrbarnabyb ghent of course, then barcelona and bologna ; iaione has 100 case studies in his Co-City report (half f… https://t.co/JFLgzJjGID"
952578454746288130,2018-01-14 16:29:36,RT @mrbarnabyb: if you were to recommend the most interesting places in the world experimenting with urban commonin… https://t.co/9Y9FUO2pno
952578259199447041,2018-01-14 16:28:49,RT @JulioMonteiro: This is a very interesting article! but looks like the author missed an important point in under… https://t.co/9mjBKnOIm1
952578159286865920,2018-01-14 16:28:25,RT @cjenscook: Collateralised mutual credit currency systems are sustainable &amp; help local trade liquidity. But it i… https://t.co/y7Pk5USbBT
952496162296225792,2018-01-14 11:02:36,Team Human: Stacco Troncoso “The Commons is the Glue” https://t.co/VHBMBXal4c https://t.co/kdAgREBTCh
952453500545445888,2018-01-14 08:13:04,"READ plse !!""How can we enable  the formation of Global Cooperative Networks within the existing Global Adversarial… https://t.co/dOYC6RvIVp"
