id,created_at,text
953298353512738818,2018-01-16 16:10:13,"Excited to speak @InsideETFs next week on 1/21 in Hollywood, FL on Five Industry Trends Reshaping Financial Advice!… https://t.co/ns6VGTogzi"
953297238662565889,2018-01-16 16:05:47,"@jlittlechild @SadiqueNeelgund Awesome, Julie! Give my best to Sadique! :)"
953296049296289792,2018-01-16 16:01:04,The Unhappiest Successful Advisors: Accidental Business Owners https://t.co/KQTroUDrvW
953280947285299202,2018-01-16 15:01:03,AdvisorEngine Acquires Junxure Users And Gets CRM Thrown In!? https://t.co/TsXRCKQBIR
953271643920588801,2018-01-16 14:24:05,RT @ValaAfshar: The world as 100 people over the last two centuries https://t.co/O4ZULDDMbX
953271398906171392,2018-01-16 14:23:07,RT @RobertStanich: .@MichaelKitces tells a story about a firm he knows that's been trying to hire somebody with 3 years experience for the…
953265840387969024,2018-01-16 14:01:01,#FASuccess Ep 055: Separating Management From Ownership On The Path To $10B of AUM with Tim Kochis https://t.co/4A6dUfapcH
953252510680211456,2018-01-16 13:08:03,"Not so kind to 'small' asset managers though... ""2017 Was Especially Kind to the RIA Community""… https://t.co/FDRegoB3ox"
953041626867339264,2018-01-15 23:10:05,Oy. @TDA4Advisors survey shows majority of RIAs expect FASTER growth in 2018 than 2017... when 2017 included a 20%+… https://t.co/hxRpZUIpIY
953024264990527488,2018-01-15 22:01:05,#FASuccess Ep 054: Lessons Of An Advisory Firm Merger And Launching Your Own Advisor FinTech Company with… https://t.co/aHMQPd1GzE
953021974099275776,2018-01-15 21:51:59,RT @daniel_egan: It is with both pride and terror that I announce my daughter has cracked the child safety locks in the bathroom.
953009158684626944,2018-01-15 21:01:04,Announcing CPA CE Credits And Other 2018 Updates To The Nerd’s Eye View! https://t.co/qwCU5131Gj
952995194865102850,2018-01-15 20:05:34,"This has always been my philosophy! ""Don't be a speaker. Be an expert who speaks."" -@Unmarketing"
952994610187554818,2018-01-15 20:03:15,"Broker had ""just"" $50M of AUM. Morgan Stanley has trillions. Appears MS was sending (another) post-Protocol warning… https://t.co/v8TlH7aLkj"
