id,created_at,text
953197181061644288,2018-01-16 09:28:12,@KhaledTAbdullah https://t.co/brmHRfSOu6
953187636016963586,2018-01-16 08:50:16,RT @devilscompiler: ICOs actually have a very important function that will one day be indispensable. They allow for democratic fundraising…
953181121985957890,2018-01-16 08:24:23,"RT @mistermircea: 9/ People suffer primarily because of internal contradictions; conflicting stories about themselves, or stories contradic…"
953180727901736960,2018-01-16 08:22:49,RT @mistermircea: 5/ This is the disease of the self-conscious mind: Create a story about your experience and think of yourself as the acto…
953180671429636097,2018-01-16 08:22:35,RT @mistermircea: 1/ People are addicted to themselves.
953105168349843457,2018-01-16 03:22:34,@Ragnarly Retreat to unaffected parts of the technology business. Do more seeds. Or chase ICOs / Private rounds tha… https://t.co/2lTJaeznB3
953104692401197057,2018-01-16 03:20:41,Software is gnawing on Venture Capital.
953104488738336768,2018-01-16 03:19:52,"Yes, ICOs are creating a bubble lemon market right now.

But long term, ICOs unbundle advice, control, and money, a… https://t.co/7G87d43RAF"
953104064845262848,2018-01-16 03:18:11,"Seed is the new Series A. 

ICO is the new Series B."
953102843757473792,2018-01-16 03:13:20,"RT @AngelListIndia: Today we're launching Syndicates in India, providing a new way for investors to back startups in our ecosystem 🇮🇳 https…"
953100599335182336,2018-01-16 03:04:25,RT @MindsFiction: .@mattwridley is an intellectual juggernaut. His game theory book is a must read for crypto investors. https://t.co/wgEJQ…
952836328206491649,2018-01-15 09:34:18,RT @didziskrumins: The reality is life is a single-player game. You’re born alone. You’re going to die alone. All of your interpretations a…
952835125837840384,2018-01-15 09:29:31,"RT @calmasarock: @naval @alanajoy Health isn’t found in parts of the system, but in the system as a whole. It’s not the vitamin C that make…"
952834968966672385,2018-01-15 09:28:54,RT @johndurant: @naval If it isn’t good for your teeth — the first point of contact with our digestive tract — it probably isn’t good for t…
952807541238452225,2018-01-15 07:39:54,Lemon markets can drive a FOMO bubble before they collapse. https://t.co/6OlwqfYQxA
952800682913939456,2018-01-15 07:12:39,"@paulccox I grew up playing strategy games, so second nature to me. You may want to try The Compleat Strategyst, Th… https://t.co/qbIrppI34t"
952796620210360320,2018-01-15 06:56:31,@tdeezi23 @paperclique Let’s not.
952796505877856256,2018-01-15 06:56:03,@alanajoy Whole Foods only. No sweeteners. Agave is processed fructose. Just eat the fruit.
952796093519036416,2018-01-15 06:54:25,"@SaleSanctuary @vadimfedorv There is this tempting statement:

“Leptin levels dropped by 31% after 12 weeks of ad l… https://t.co/XMPozORwIz"
952795679910281216,2018-01-15 06:52:46,@SaleSanctuary @vadimfedorv Paper implied likely bad but better than processed flour.
952795367594053633,2018-01-15 06:51:32,@tdeezi23 @paperclique Carbs outside of their cellular matrix. Read it again before making fun of something that you didn’t understand.
952794974378123264,2018-01-15 06:49:58,@alanajoy This slightly different approach would tell you to avoid Stevia as it has been stripped of its cellular matrix.
952794592784429056,2018-01-15 06:48:27,RT @robodioxide: Question your resumptions
952794027576840192,2018-01-15 06:46:12,RT @robodioxide: Forgive others for your own selfish sake.
952792454490595329,2018-01-15 06:39:57,"@robodioxide Are you implying that brushing is harmful? Genuinely curious. If so, floss heavily instead?"
952792075270934528,2018-01-15 06:38:27,@vadimfedorv Does not include potatoes etc (or borderline). See Figure 1 in the paper.
952791888641146880,2018-01-15 06:37:42,"@vadimfedorv Almost all grains and any heavily processed carb. Includes all the fake foods, powders, bars. May include juices."
952789912582946816,2018-01-15 06:29:51,"Dense carbohydrates outside of their cellular matrix feed the wrong bacteria in our guts and mouths, leading to obe… https://t.co/tvdySCsNg8"
952499595774341120,2018-01-14 11:16:14,"RT @twobitidiot: Must read: 
“$600 Million TONs of Crap” by Charles Noyes https://t.co/SsGM8h4vKs"
952499324222521344,2018-01-14 11:15:10,"RT @twobitidiot: If you think XRP and XLM are 8x and 4x as valuable as ZEC and XMR combined, you're gonna have a bad time. 

h/t @onchainfx…"
952475551305891840,2018-01-14 09:40:42,It's good to democratize investing but the current crypto market should give everyone pause. https://t.co/NLaZe5K1TU
