id,created_at,text
951982473973522434,2018-01-13 01:01:23,"@MarkPerry165 @HWC_wrestling 5k to the hawks,,,,,    please send email"
951778192334999552,2018-01-12 11:29:38,What are the three top resources for cryto news?   thanks... doing a survey
951638841122869248,2018-01-12 02:15:54,“Shithole countries?” When is enough enough?  Impeach Trump now.  We are better than this.  Our kids deserve better.
950962985505378304,2018-01-10 05:30:18,@sp3cul8r @waxtoken I sure hope so
949479088489730048,2018-01-06 03:13:49,@naval Never badmouth luck 😋
949430761844862976,2018-01-06 00:01:47,@cryptomanran i like the team..i like the product...
948903160676044801,2018-01-04 13:05:17,"At one Point in the 1989 Japanese real estate bubble, the Imperial Palace in Japan was said to be worth more than t… https://t.co/AYn4nWwYOG"
948901960132038656,2018-01-04 13:00:31,total $XRP now worth $380 bn....  makes Ripple labs worth $225bn..  tenth largest company by market cap in the worl… https://t.co/dXiw1GfaLI
948408732928659456,2018-01-03 04:20:37,@David_T_Cheung One of my favorites
947870891127455744,2018-01-01 16:43:25,Sending strength to the Iranian students who want a better life. I visited in 2009 right before the Green revolutio… https://t.co/BTdQXTHVUd
947165870672969736,2017-12-30 18:01:55,@dsallentess  Just read your book Cuz.   Thank you for sharing Michael and your family’s story.   I am a fellow tig… https://t.co/fJ0vvzARvN
947139973156917248,2017-12-30 16:19:01,"@cryptomanran Well, we are well through that if you include private companies like Coinbase and coins held on balan… https://t.co/7KQWafVb7I"
946993304616321024,2017-12-30 06:36:12,@loftonprestwich Full disclosure.  I am a day 1 investor in ripple labs.  I have said many times you need to divers… https://t.co/wP44MXd9Ss
946991247763181568,2017-12-30 06:28:02,@BitfuryGeorge Actually ripple is valued at more than bitcoin.  You are just looking at free float.  It’s not the r… https://t.co/6VjvsfyOsh
946905058255491074,2017-12-30 00:45:33,Crypto market cap is over 1 tr if you count all coins as well as value of the companies in the space.   2018 is gonna be a wild ride.
946396892602056704,2017-12-28 15:06:17,"Seems to me market cap tables should include all coins issued, not just in circulation."
946007959233892359,2017-12-27 13:20:48,@coindesk @aerobatic Eth was up 70x in 2017.   How can it not be Eths year.
946007322056208384,2017-12-27 13:18:16,"@YALiberty Let’s remember to put uncle milton in context.  When he made his mark, the marginal tax rate was 90 perc… https://t.co/kuzhRiILQL"
945097479753740289,2017-12-25 01:02:52,"RT @ibrightly: Coin Center, doing what it can to keep the community free to innovate. Small team, big impact. https://t.co/ecW3FjfDhK"
944960406279376896,2017-12-24 15:58:12,RT @bailproject: No one deserves jail time because they can't afford bail before trial. 100% of the proceeds from this tee (or hoodie) goes…
944708307079622656,2017-12-23 23:16:26,"RT @woonomic: Unit of measure for return on investment:
Wall Street &amp; banking: %
Cypto: x"
944344137977008129,2017-12-22 23:09:22,"To be clear, we delayed launching a hedge fund with outside investors capital last week because we didn’t like mark… https://t.co/TB0EvPtu3r"
944343342594383872,2017-12-22 23:06:12,Galaxy is building out a full fledged crypto merchant bank. I have over 30 percent of my net worth in crypto assets… https://t.co/KRtglaimVs
944339744355471362,2017-12-22 22:51:54,@BCLashic @MrMochizuki I sure hope your right
944242370291388416,2017-12-22 16:24:58,Looks to me like a short term top is in.   My hunch is we consolidate between 10-16k for a while.   Extreme would b… https://t.co/Do86kKOwEl
944177632383553536,2017-12-22 12:07:44,When insiders sell it always is important.  @SatoshiLite
943959849561444352,2017-12-21 21:42:20,RT @starkness: I'm on Bloomberg TV with @TheStalwart in 10 minutes to talk about @lightning. Tune in here! https://t.co/S1obtjQ935
943463662546771969,2017-12-20 12:50:40,@KryptoWicks42 @SatoshiLite @VitalikButerin @ethereumJoseph was a real question.     wanted to see the wisdom of the crowd...
943460849091596289,2017-12-20 12:39:29,Is @SatoshiLite selling all his $ltc bullish or bearish?  If @VitalikButerin or @ethereumJoseph sold all of their $eth I’d be worried.
943313466114396163,2017-12-20 02:53:50,excited that $WAX tokens will start to trade.   this is worth a read.https://t.co/UoRnPICsLo
942965775022817280,2017-12-19 03:52:14,RT @novogratz: @Kevinromano140 Right now this is just a firehouse of liquidity.  Normal technicals don’t matter.  Prices will go up until 1…
942963848046399488,2017-12-19 03:44:35,@Kevinromano140 Right now this is just a firehouse of liquidity.  Normal technicals don’t matter.  Prices will go u… https://t.co/Ht7FHaNRGj
942942707982454785,2017-12-19 02:20:35,"RT @ibrightly: E*TRADE - 35 years in existence, fewer concurrent users than 3 year old Bittrex. https://t.co/08fiPHosUl"
942415890070622209,2017-12-17 15:27:12,@RampCapitalLLC Scrooged is a classic.  Cmon people.
942044426360315909,2017-12-16 14:51:08,@CliffordAsness @andmah @ReformedBroker Well written.
942030707798560769,2017-12-16 13:56:37,"This week the buying seemed indiscriminate. With this much money piling onto the exchanges globally, the market is… https://t.co/50rQ9xDYbE"
941882141029339137,2017-12-16 04:06:16,@iamblissss Took profit on half today.
940732073316376576,2017-12-12 23:56:18,@blockchainkid @CNBC 100 percent agree.  I️ just think most people haven’t been declaring those trades.  They should.
940704208688435205,2017-12-12 22:05:35,Going on @CNBC to talk crypto.  Wild day.
940418668986544129,2017-12-12 03:10:57,@pererstroika I️ lived in Alabama.  I️ flew helicopters in the USArmy at Fort Rucker.
940418072300703744,2017-12-12 03:08:35,@ethgod Certainly got that wrong.   Underestimated the overall power of the crypto speculative fever.
940417761137889285,2017-12-12 03:07:21,@i_maximus Thanks.
940417677591445505,2017-12-12 03:07:01,@CryptoChang Feels like we are heading much higher.   We will hit 20k.
940417542778220544,2017-12-12 03:06:28,RT @CryptoChang: @novogratz Mike are you bullish on 20k by year's end $BTC?
940411858032517120,2017-12-12 02:43:53,@Fab00se Cost me a fortune.
940411538686476288,2017-12-12 02:42:37,"I️ hate Steve Bannon but I️ love Bitcoin.   Hoping Roy Moore goes down.  Worried that Alabama elects a bigot.  Oh,… https://t.co/jmgBKkkkbY"
939967960420110339,2017-12-10 21:20:00,@johannestknd @rogerkver I️ agree scalability will be solved.   My only point was that bitcoin can go higher in adv… https://t.co/FGHwNAgBtX
939947852561870848,2017-12-10 20:00:06,@CoachKJ__ Same
939830482262470656,2017-12-10 12:13:42,@VinnyLingham #WISDOM
939631814410424321,2017-12-09 23:04:16,@rogerkver I disagree.   Gold is a story of value but not a medium of exchange.
938980548713820160,2017-12-08 03:56:22,@Benaskren @GeorgesStPierre My 100 bitcoin best is getting more expensive.  Where r u @danawhite ??
938921084006666240,2017-12-08 00:00:05,RT @BitfuryGeorge: https://t.co/YX69Dhna2u
938138552822652929,2017-12-05 20:10:35,@Melt_Dem @theAJSingleton Send me a message with details. Thanks.
938127426248421376,2017-12-05 19:26:22,RT @CNBC: Hedge fund manager Novogratz worried surging bitcoin price may attract government regulation https://t.co/SyPXRexSYj
938127191765934081,2017-12-05 19:25:26,@Melt_Dem If it’s in New York I’m down.
938046695119745024,2017-12-05 14:05:34,"RT @GammaticalError: Some heavy hitters in the Bitcoin industry looking to break ground in the U.S.! 

Advisors to the partnership: Mike No…"
937996854687666176,2017-12-05 10:47:31,It feels to me that 85% of the crypto community is male.  for the revolution to thrive we need more women on the te… https://t.co/4tGGwJaLNy
937773336175706112,2017-12-04 19:59:20,@robby_stelly @realDonaldTrump this came out of the 2008 financial crisis when many of our institutions failed us.… https://t.co/YpsIi2Yzem
937647595484217344,2017-12-04 11:39:42,@Cointelegraph Yes.  Pay your taxes.  Shouldn’t be that complicated.  Or face fines and or jail.
937641484047790080,2017-12-04 11:15:24,The decentralized revolution is an outgrowth or losing trust in institutions.  @realDonaldTrump is a perfect exampl… https://t.co/pmfZCHWWHl
936643610799460357,2017-12-01 17:10:13,RT @CNBC: CME says it's launching bitcoin futures on Dec. 18 https://t.co/tsh3mCWYkx
936557908409675776,2017-12-01 11:29:40,@dkhesin123 Crawl.  Walk. Run.    I am now running.
936401634812465153,2017-12-01 01:08:41,RT @novogratz: BitConnect really seems like a scam.  an old school ponzi ...   bad actors hurt the community.  period.   #bitcoin #ether
936379584962064384,2017-11-30 23:41:04,@urgencahit 8300-8500 btc.  380-400 eth. 😉
936351253457760257,2017-11-30 21:48:30,Billionaire bitcoin investor Mike Novogratz: 'We sold some bitcoin in a frenzy' https://t.co/IABMpJnBp9
936332924726726657,2017-11-30 20:35:40,About to go on @LizClaman of Fox.   White House press conference asked about bitcoin.
936319021061984258,2017-11-30 19:40:25,@TomFromTartu I shouldn’t have been so soft.
936296853477494785,2017-11-30 18:12:20,@CraigDvn I tried but couldn’t get a borrow
936289332289208320,2017-11-30 17:42:26,BitConnect really seems like a scam.  an old school ponzi ...   bad actors hurt the community.  period.   #bitcoin #ether
935642250993913856,2017-11-28 22:51:10,"RT @balajis: There are likely at least 10,000 blockchain millionaires (""only"" $10B of the $300B market cap). These are people who placed ea…"
935590171264864256,2017-11-28 19:24:13,RT @RiskReversal: Thoughtful commentary on crypto assets by @novogratz on @CNBCFastMoney with some thoughts on the near-term &amp; 2018 price p…
935509315678625793,2017-11-28 14:02:56,"@ImogenNYC As a New Yorker I hope your right, but R’s see this as life or death.   So it will pass.  Politicians ar… https://t.co/15ru5Mz2cm"
935508968583172098,2017-11-28 14:01:33,@tag2drex @CNBCFastMoney Speculation = innovation.  As money flows into the space so does talent.  The market is wa… https://t.co/sQtt4QohBj
935507465923366914,2017-11-28 13:55:35,"I’ll be talking with Glenn Hutchins and @BKBrianKelly on crypto at Consensus Invest today at 9:15 AM ET

Tune in li… https://t.co/pxH18mIaE5"
935501339316105217,2017-11-28 13:31:14,@ImogenNYC Sadly that’s why it will pass
935500511347912704,2017-11-28 13:27:57,@GioLio17 @CNBCFastMoney I think on the long run there will be one main winner in each vertical or ecosystem.  So f… https://t.co/SC9jifZAOx
935278110911713280,2017-11-27 22:44:12,Great time talking crypto with @BKBrianKelly on @CNBCFastMoney!
935276644989833217,2017-11-27 22:38:23,RT @CNBCFastMoney: .@novogratz: #Bitcoin could be at $40K by the end of 2018
935262067094904834,2017-11-27 21:40:27,RT @CNBCFastMoney: The man who called #Bitcoin $10K is back tonight with a bold new call on the cryptocurrency $BTC https://t.co/TkOasBf9OC
934936366881832965,2017-11-27 00:06:14,@NicholasStauff @theglue29 @Benaskren Johnny Hendricks mauled GSP.  Just got robbed by a corrupt official.  Retired him actually.
934779213252562949,2017-11-26 13:41:46,#bitcoin over 9k and #ETH over 460 is a pretty nice way to wake up on my birthday.
934638447809253376,2017-11-26 04:22:25,Go Wax. https://t.co/DegpZgwvxz
934637171293741057,2017-11-26 04:17:21,@KiteVC That shit cray
934463811020521472,2017-11-25 16:48:28,@DieterHASTINGS @myinnerhealth Amazon matches buyers and sellers which a decentralized system can do very effective… https://t.co/QpByjV3yfY
934460701447540736,2017-11-25 16:36:07,@Stone_SkyNews @Kimcheezus @guardian Staggering
934239851779674113,2017-11-25 01:58:32,@squashems @Benaskren @danawhite Sometime it's not the right bet at the wrong time but the wrong bet at the right time. -- Cincinnati kid.
934224796375805952,2017-11-25 00:58:43,I'd bet 100 bitcoin that @Benaskren can take George St Piere.  Where are you @danawhite ?  Check your damn ego and book this fight.
934223334228791303,2017-11-25 00:52:54,@MacroScope17 BTC.  Not even close.
934065949166235648,2017-11-24 14:27:31,Proud of my sister https://t.co/xMPGndD3Gn
934023999381823488,2017-11-24 11:40:49,RT @SxsThruFailure: How to meditate like a billionaire :) https://t.co/q5dbingpCO
933884773214375937,2017-11-24 02:27:35,@Crypto_Fugger Truth
933884611922407424,2017-11-24 02:26:56,https://t.co/7zM95k1jA9 We are starting to kick ass.  Please join our army. #bailproject
933775788930994177,2017-11-23 19:14:31,"I am thankful for the Macy's Thanksging day parade,  my family, my friends, and this awesome move in #ether."
933540763895517184,2017-11-23 03:40:37,@travdet @tajmilan @bailproject Go to the website and donate or volunteer.  We need an army.  Thanks.
933465914397347840,2017-11-22 22:43:11,Our current bail system is outrageous.  Glad to be part of the @bailproject https://t.co/IFmQPQXPPG
933440231507980288,2017-11-22 21:01:08,Come see me interview Joe Lubin next week.  Its 1k and it goes to a great cause.  Thanks for the support. https://t.co/Jx5aEXjhuW
933325894038573058,2017-11-22 13:26:48,@StartaleTV @David_T_Cheung Love this chart
933317250660134913,2017-11-22 12:52:27,@realDonaldTrump @real Donald trump must have the thinnest skin ever recorded.
933212953280688128,2017-11-22 05:58:00,@T_OConnell Love monero
933074071331450880,2017-11-21 20:46:08,@CNBC #the greatestjackass
933038253892128770,2017-11-21 18:23:49,#overexposed https://t.co/l0QR15RLxJ
932982164358090753,2017-11-21 14:40:56,@cryptoha 500
932768636409958401,2017-11-21 00:32:27,@CNBC #WorstPresidentEver
932768185165762561,2017-11-21 00:30:39,@ethereumJoseph Congrats.
932740366620602371,2017-11-20 22:40:07,https://t.co/QBIkgPwdWJ     Worth a read.
