id,created_at,text
952530161479639042,2018-01-14 13:17:42,RT @BitPay: How Payment Protocol Is Eliminating Costly Bitcoin Payment Errors: Stats and Results | The BitPay Blog https://t.co/QFk78hUIyH…
951458713969283072,2018-01-11 14:20:09,RT @BitPay: BitPay and Copay Wallet Users in Brazil Can Now Buy Mercado Livre Gift Cards In-App | The BitPay Blog https://t.co/VJaAPnnoQW #…
950135202004848640,2018-01-07 22:40:59,"We deliberately moved to 6 decimal places on @BitPay invoices so that we could eventually drop the leading ""0."" and… https://t.co/wgj1H8swfv"
938451196624465920,2017-12-06 16:52:55,https://t.co/uKpKpKXu3u
928319914884108306,2017-11-08 17:54:49,"RT @CharlieShrem: BREAKING: ""SegWit2X Suspending plans for the upcoming 2MB upgrade."" #Bitcoin
https://t.co/9eWcFOBm2A"
928311825510420481,2017-11-08 17:22:41,I just published “Segwit2x Should Be Canceled” https://t.co/0xn0iwjx5f
915560113053868032,2017-10-04 12:51:55,"BitPay’s Bitcoin Payments Volume Grows by 328%, On Pace for $1 Billion Yearly https://t.co/Ls3S8Ce1zZ via @bitpay"
908822695210553344,2017-09-15 22:39:50,https://t.co/PfqurZAAXx
908376357322797061,2017-09-14 17:06:15,“How B2B Bitcoin Payments Are Opening International Markets to US Businesses” by @BitPay https://t.co/XaAShQFa6o
906862922361696256,2017-09-10 12:52:24,https://t.co/lGnUSziHLI
901455944722329600,2017-08-26 14:47:00,"""About one in three graphics cards sold at retail, to OEMs or businesses was used for cryptocurrency mining."""
901455379518849025,2017-08-26 14:44:45,incredible: https://t.co/V0e6fYecbX
901453834324672513,2017-08-26 14:38:36,will electricity eventually only be sold for #bitcoin?... we'll know this is happening when miners start buying electric companies
901175985046990849,2017-08-25 20:14:32,I just published “BitPay’s Perspective on Segwit2x” https://t.co/lVgHVtrqXp
900463551881654273,2017-08-23 21:03:35,love hearing #bitcoin stories like this: https://t.co/9f2VdchFsj
898557412466184192,2017-08-18 14:49:16,the scale that #bitcoin mining has reached is impressive: https://t.co/haXqbchEQk
897178515862376448,2017-08-14 19:30:01,I just published “Bitcoin is 24x7: Why BitPay Didn’t Stop for the Bitcoin Cash Fork” https://t.co/V2kqfaGN92
890988940945227777,2017-07-28 17:34:51,"RT @BitPay: BitPay Does Not Plan to Suspend Service on August 1st
 | The BitPay Blog https://t.co/pd5dRaHIJp #Bitcoin"
890988901187432448,2017-07-28 17:34:42,RT @BitPay: What BitPay and Copay Users Need to Know About the Bitcoin Cash Fork | The BitPay Blog https://t.co/YD1dwGctRv #Bitcoin #Bitcoi…
877845355886465024,2017-06-22 11:06:57,https://t.co/sADzBN6bNL #bitcoin
873400974941073408,2017-06-10 04:46:34,RT @BitPay: BitPay investor Ashton Kutcher dropped by our office this week to talk to our team &amp; share insights on taking #bitcoin payments…
865407692537380864,2017-05-19 03:24:07,"@lightcoin it's more like a stock split than inflationary...the proposal is to fork the current chain, not create a new one"
865322633830821896,2017-05-18 21:46:07,@SatoshiLite we used to say this about people that didn't mine
865317494625619970,2017-05-18 21:25:42,interesting idea: https://t.co/dv5b3dPomK
865264953040805889,2017-05-18 17:56:55,I just published “Our Conspiracy with Bitmain” https://t.co/DEc7zGyQWk
865032057038278656,2017-05-18 02:31:28,@mdotbit hehe ... I totally forgot about that!
865030104027717632,2017-05-18 02:23:42,"here's an idea, #bitcoin holidays to let the transaction backlog clear"
864997845480292354,2017-05-18 00:15:31,"to clarify BitPay's stance, we assumed this was segwit+2mb HF by @SDLerner ... not a rehash of the HK consensus (wh… https://t.co/Luhqhdp95J"
864956021072162821,2017-05-17 21:29:20,"posted on internal @BitPay chat: ""BitPayers talking in #support-pit about who’s answered the most tickets: https://t.co/RB6QHB1Vtf"""
864909449135304715,2017-05-17 18:24:16,@SatoshiLite is Litecoin going to have a trademark issue with Miller?
864887682383716352,2017-05-17 16:57:46,"@NikoYounts my view has not changed, I've not said anything inconsistent with this"
864885970730188807,2017-05-17 16:50:58,"RT @paullinator: Staff at @Airbitz all get paid in #bitcoin. With fees skyrocketing, we may have to switch to @litecoin or @ethereumproject…"
864885675925098501,2017-05-17 16:49:48,"best plan: 8mb hard fork on #bitcoin now, test segwit on litecoin"
864846598341349376,2017-05-17 14:14:31,asking someone to run UASF is like asking them to put a gun to their head and threaten everyone they'll pull the trigger
864846188209733633,2017-05-17 14:12:53,"UASF is not a grass roots effort, it is an astroturfing effort"
864809897640251392,2017-05-17 11:48:41,"@nitroXplicit not opposed to it, unfortunately it is too late for segwit ... bigger blocks are needed now, segwit .… https://t.co/QsjGF3iVNx"
864808645216935937,2017-05-17 11:43:43,"@adam3us we are a large part of the ecosystem, we represent millions of users"
864806785579978753,2017-05-17 11:36:19,"@adam3us yes, it does help"
864804086604079104,2017-05-17 11:25:36,"@adam3us @BitGo no, it really would not immediately help"
864803315078635520,2017-05-17 11:22:32,...or miners hard fork to bigger blocks
864803133482049536,2017-05-17 11:21:48,great visual ... #bitcoin fees will continue to rise indefinitely until enough people stop using it https://t.co/8dDlZ2ihjx
864801057213493248,2017-05-17 11:13:33,@adam3us it's too late for segwit unfortunately ... would not help this situation
864798401912856576,2017-05-17 11:03:00,"a typical #bitcoin transaction costs $1.80 now, &gt;200k unconfirmed transactions, time for a hard fork to larger blocks ... 8mb please"
864633849447424000,2017-05-17 00:09:08,it's good to test segwit on litecoin for a while before it is deployed in #bitcoin
864576704316145665,2017-05-16 20:22:04,@Adrian_Xt @MortuusBestia agreed ... we have gamed out that scenario
864559829809082369,2017-05-16 19:15:00,"@ytrius ""miners know *that*"""
864559187262664705,2017-05-16 19:12:27,"@ytrius off chain ... it is not smart to force a fee market in this way right now ... miners know they, they're just being patient"
864558677705076738,2017-05-16 19:10:26,@ytrius that's a good question
864557914173865985,2017-05-16 19:07:24,@Adrian_Xt @svnlyte I don't think it's a good idea for consensus rule changes to play out on the network
864543696552955905,2017-05-16 18:10:54,I could support the simplest HF to 2mb soft limit / 8mb hard limit for #bitcoin (w/quadratic hashing protection)
864543129411694593,2017-05-16 18:08:39,@MortuusBestia ok ... but in its own tweet
864539100447199233,2017-05-16 17:52:38,@hitchslappy the capacity increase in segwit is maybe a 6 to 12 mo reprieve ...and that's assuming people start using it quickly
864537621229424640,2017-05-16 17:46:45,@hernzzzzzz @alansilbert @sthenc I can't speak to motivation and I don't know to what degree social media is being manipulated
864535540170936320,2017-05-16 17:38:29,"@hernzzzzzz @alansilbert @sthenc Yes, this is true ... we see it with our own customers"
864534772252594176,2017-05-16 17:35:26,@hitchslappy not opposed to segwit
864534645437812736,2017-05-16 17:34:56,@alansilbert @sthenc it isn't
864534465674186753,2017-05-16 17:34:13,@svnlyte I don't think BU is a good idea ... EC is not the right way
864531361264218112,2017-05-16 17:21:53,@sthenc no
864523737055580160,2017-05-16 16:51:35,the truth about scaling #bitcoin ...very well written and spot on: https://t.co/9WnJ4W2Kio
862989385540800514,2017-05-12 11:14:37,good article on how #bitcoin is crowd funding capital flow: https://t.co/HpKrXGPb0M
860456206321823744,2017-05-05 11:28:40,this is a nice overview of the #bitcoin extension block proposal: https://t.co/GLRsFkLObm
857014345947111424,2017-04-25 23:31:57,@avibryant @TangerineBank Use #bitcoin
856549746709843968,2017-04-24 16:45:48,the @Bcoin testnet for #bitcoin extension blocks went live this weekend ... @BitPay plans to test: https://t.co/0isUbfMzmO
855538805931212800,2017-04-21 21:48:41,@_chjj impressive!
854144085900308480,2017-04-18 01:26:33,Awesome video on accepting #bitcoin with @BitPay checkout app: https://t.co/2kVBnnkUHW
852160130296762369,2017-04-12 14:03:02,@EphraimScript @BitPaySupport to be more specific we do not support UASF of segwit ... BIP148 is too easily gamed a… https://t.co/OLAQWNlysa
852159194778275840,2017-04-12 13:59:19,@EphraimScript @BitPaySupport No
849228784184299521,2017-04-04 11:54:54,here is another good article on the #bitcoin extension block proposal by @PurseIO: https://t.co/Spvs3NI85M
849226785350975488,2017-04-04 11:46:58,excited about this #bitcoin proposal from the @PurseIO team (and good @Forbes article) https://t.co/42RlqwiaWW https://t.co/87gBVWCZqN
847528101596848128,2017-03-30 19:17:00,Atlanta ranks 3rd among technology boom towns: https://t.co/9saOQwJ4VP
847054373461147650,2017-03-29 11:54:34,"in the future, the vast majority of #bitcoin transactions will be off-chain"
847052704685965313,2017-03-29 11:47:56,@adam3us indeed ... I think just about nothing short of a failure in ECDSA will stop #bitcoin
844968748981334018,2017-03-23 17:47:03,RT @BitPay: .@Deloitte just launched a BitPay #bitcoin payment option in their Toronto office cafe: https://t.co/GFR3bduSly
844566535431733250,2017-03-22 15:08:47,the Copay #bitcoin wallet gets a major performance boost today ... new version of @BitPay app too: https://t.co/GkjewoSEUN
843939263838347265,2017-03-20 21:36:14,great article on @BitPay team member Liya in Amsterdam https://t.co/Wx3MDFFUaX #bitcoin
