id,created_at,text
953296064118960128,2018-01-16 16:01:07,"RT @lopp: This is what it's like trying to time the markets. 'Tis easier, safer, and less stressful to HODL. https://t.co/Eq4NNyqnfX"
953295587495088128,2018-01-16 15:59:14,"RT @amandagutterman: The @nytimes came on a tour of @ConsenSys! What they found: @metamask_io, @uport_me, and how bad I am at making coffee…"
953294563321491456,2018-01-16 15:55:09,"Good day for falling knife capital. 

BCH is still almost twice as high as BTC was a year ago.

0x, which didn't ex… https://t.co/RMQ0FAhvcy"
953287672373633024,2018-01-16 15:27:46,RT @WhalePanda: Did someone send all their BCash to a Bitcoin address? 🤔https://t.co/8l1yhL29WQ
953287629365239808,2018-01-16 15:27:36,"RT @AntPoolBITMAIN: Poloniex please reply this ticket, 704569, urgent situation. Please help. Many thanks ."
953284074487144448,2018-01-16 15:13:29,"RT @_jillruth: Crypto does not want for much these days. Money, talent, attention. But it does lack perspective.

https://t.co/qaifixSxcq"
953284007353085953,2018-01-16 15:13:13,"RT @NeerajKA: If you’re wondering why cryptocurrency people always seem to shrug at dips, it’s because we’re looking at the bigger picture:…"
953257715966578688,2018-01-16 13:28:44,RT @iamjosephyoung: Four middle-aged women in a cafe are talking about how it would not be possible and sensible for the government to ban…
953252513725255681,2018-01-16 13:08:04,"RT @DanielMiessler: A brief thought on the Hawaiian missile warning failure.

When an Amazon employee deleted a bunch of infrastructure, Am…"
953251474636754945,2018-01-16 13:03:56,"RT @danprimack: This thing has been ongoing for over a decade, and really cuts into Boston's ability to create new startups. https://t.co/o…"
953250081054052352,2018-01-16 12:58:24,RT @NeerajKA: Time to take a big sip from my solid gold diamond encrusted Bitcoin mug and check the markets
953238677714604032,2018-01-16 12:13:05,"Say what you will about XRP’s inflated market cap, but I have never been wealthier than Jeff Bezos. Even for a day."
953237956596248576,2018-01-16 12:10:13,@udiWertheimer There are layers to my sarcasm udi. Many many layers.
953234050034040832,2018-01-16 11:54:42,"There’s only 50 billion dollar crypto protocols now, so I guess we can all  just pack up our toys and go home."
953231756534145024,2018-01-16 11:45:35,RT @CryptoCobain: @CNBCFastMoney Errrrrrr https://t.co/WV5eyzc2yK
953230845522989056,2018-01-16 11:41:58,RT @mistermircea: 1/ People are addicted to themselves.
953230791588368384,2018-01-16 11:41:45,"RT @real_vijay: Everyone wants to find the next Bitcoin so they can make 10,000% per year.

Sorry to break it you, but Bitcoin is the next…"
953230703055069184,2018-01-16 11:41:24,"RT @ljxie: Favorite resources:

Token metrics: @onchainfx, @TokenData, @coinmetrics 

Newsletters: ""Token Economy"" by @stefanobernardi and…"
953230499220213760,2018-01-16 11:40:35,"@woonomic Better luck next year, willy! Maybe we can do the unthinkable and surpass the mighty tapscott at #7."
953229704751968256,2018-01-16 11:37:26,RT @Melt_Dem: fire sale on crypto 🔥 get it while it's hot!
953075427802779653,2018-01-16 01:24:23,@arjunblj sovereign individual!
953067458247757824,2018-01-16 00:52:43,"RT @el33th4xor: You all made a lot of noise about decentralization, and someone finally went and measured it for Bitcoin and Ethereum. Wait…"
953060421665214464,2018-01-16 00:24:46,RT @lacroixwater: @NeerajKA It's always good to HODL some bitcoin and LaCroix 😉
953038550626455553,2018-01-15 22:57:51,RT @kyletorpey: Stop saying the blockchain is the underlying technology behind #Bitcoin. It's the other way around. https://t.co/0ShxsNvnQr
953032451206598656,2018-01-15 22:33:37,RT @SatoshiLite: Lightning Network is effectively Bitcoin's cache. It should rebrand to Bitcoin Cache for ultimate confusion. 😂 #bcash
952965295563517952,2018-01-15 18:06:46,@kitathinking @MessariCrypto gotta start them early!
952965203603410946,2018-01-15 18:06:24,@patricksouth ugh
952951225976225794,2018-01-15 17:10:51,Crypto in 2018: Looking Back and Looking Forward - https://t.co/303s5SAwdQ
952914440147652608,2018-01-15 14:44:41,RT @prestonjbyrne: An important point for cryptocurrency investors: reverse network effects also exist. If the software can’t address its u…
952893555755843585,2018-01-15 13:21:42,".@coindesk come on, guys. You're better than this. https://t.co/soDAbZBOTx"
952888501925752832,2018-01-15 13:01:37,"RT @xrptips: If past is prologue, expect the quarterly $XRP report this week."
